# BJD(TDB)-2450000 airmass sky(ADU) dx(pix) dy(pix) fwhm(pix) peak(ADU) frame flux(r=28.0) err(r=28.0) flux(r=30.0) err(r=30.0) flux(r=32.0) err(r=32.0) flux(r=34.0) err(r=34.0) flux(r=36.0) err(r=36.0) 
7777.909506 2.0020 2405.4 -0.935 0.031 20.27 25088.1 MSCL0_1701240051 1.009561 0.001278 1.009870 0.001295 1.010672 0.001314 1.011262 0.001333 1.011232 0.001353 
7777.910247 1.9890 2333.3 -1.152 -0.389 18.27 27535.2 MSCL0_1701240052 1.010649 0.001263 1.010884 0.001279 1.011460 0.001297 1.011771 0.001316 1.012044 0.001336 
7777.910988 1.9762 2286.7 -1.875 -0.652 20.20 24268.0 MSCL0_1701240053 1.007241 0.001245 1.008239 0.001262 1.009237 0.001280 1.009581 0.001298 1.009450 0.001317 
7777.911740 1.9633 2260.4 -0.495 0.616 20.32 23723.2 MSCL0_1701240054 1.008321 0.001237 1.009635 0.001254 1.010349 0.001272 1.010918 0.001290 1.011116 0.001309 
7777.912480 1.9509 2236.0 -1.299 -0.820 21.36 22032.3 MSCL0_1701240055 1.006226 0.001224 1.007489 0.001241 1.009005 0.001259 1.010029 0.001278 1.010359 0.001297 
7777.913232 1.9384 2212.8 -0.912 0.765 20.61 24325.8 MSCL0_1701240056 1.010606 0.001218 1.011632 0.001235 1.012809 0.001253 1.013741 0.001272 1.014166 0.001291 
7777.913984 1.9261 2204.4 -1.234 -0.501 19.84 24663.4 MSCL0_1701240057 1.007576 0.001205 1.008196 0.001221 1.009221 0.001239 1.010002 0.001257 1.010382 0.001276 
7777.914725 1.9142 2195.5 -1.542 -0.512 20.47 23384.1 MSCL0_1701240058 1.009845 0.001200 1.010453 0.001216 1.011328 0.001234 1.011833 0.001253 1.012206 0.001272 
7777.915466 1.9025 2151.1 -1.067 0.865 20.52 24025.2 MSCL0_1701240059 1.007051 0.001183 1.008122 0.001200 1.009272 0.001217 1.010135 0.001236 1.010471 0.001254 
7777.916218 1.8907 2138.2 -0.677 -0.072 19.27 27276.1 MSCL0_1701240060 1.007324 0.001174 1.007564 0.001189 1.007606 0.001206 1.007752 0.001224 1.008006 0.001242 
