# BJD(TDB)-2450000 airmass sky(mag) dx(pix) dy(pix) fwhm(pix) peak(mag) frame mag_t(r=28.0) mag_t-c_err(r=28.0) mag_c(r=28.0) mag_t(r=30.0) mag_t-c_err(r=30.0) mag_c(r=30.0) mag_t(r=32.0) mag_t-c_err(r=32.0) mag_c(r=32.0) mag_t(r=34.0) mag_t-c_err(r=34.0) mag_c(r=34.0) mag_t(r=36.0) mag_t-c_err(r=36.0) mag_c(r=36.0) 
7777.909506 2.0020 -8.453 -0.935 0.031 20.27 -10.999 MSCL0_1701240051 -16.96671 0.00137 -17.54173 -16.97099 0.00110 -17.54331 -16.97402 0.00111 -17.54448 -16.97648 0.00113 -17.54553 -16.97849 0.00114 -17.54651 
7777.910247 1.9890 -8.420 -1.152 -0.389 18.27 -11.100 MSCL0_1701240052 -16.97401 0.00137 -17.54786 -16.97844 0.00137 -17.54968 -16.98149 0.00110 -17.55110 -16.98370 0.00111 -17.55220 -16.98589 0.00113 -17.55304 
7777.910988 1.9762 -8.398 -1.875 -0.652 20.20 -10.963 MSCL0_1701240053 -16.97846 0.00137 -17.55597 -16.98347 0.00137 -17.55755 -16.98697 0.00138 -17.55897 -16.98915 0.00110 -17.56001 -16.99102 0.00112 -17.56096 
7777.911740 1.9633 -8.385 -0.495 0.616 20.32 -10.938 MSCL0_1701240054 -16.98341 0.00137 -17.55976 -16.98908 0.00137 -17.56166 -16.99241 0.00138 -17.56322 -16.99475 0.00139 -17.56418 -16.99685 0.00111 -17.56499 
7777.912480 1.9509 -8.374 -1.299 -0.820 21.36 -10.858 MSCL0_1701240055 -16.98065 0.00138 -17.55926 -16.98735 0.00138 -17.56224 -16.99195 0.00138 -17.56420 -16.99526 0.00139 -17.56564 -16.99785 0.00139 -17.56681 
7777.913232 1.9384 -8.362 -0.912 0.765 20.61 -10.965 MSCL0_1701240056 -16.99064 0.00104 -17.56454 -16.99651 0.00105 -17.56694 -17.00032 0.00106 -17.56849 -17.00320 0.00108 -17.56959 -17.00554 0.00109 -17.57041 
7777.913984 1.9261 -8.358 -1.234 -0.501 19.84 -10.980 MSCL0_1701240057 -16.98558 0.00103 -17.56274 -16.99042 0.00104 -17.56454 -16.99366 0.00105 -17.56568 -16.99609 0.00106 -17.56650 -16.99823 0.00108 -17.56716 
7777.914725 1.9142 -8.354 -1.542 -0.512 20.47 -10.922 MSCL0_1701240058 -16.98486 0.00102 -17.55958 -16.99012 0.00103 -17.56182 -16.99369 0.00105 -17.56345 -16.99613 0.00106 -17.56457 -16.99840 0.00108 -17.56537 
7777.915466 1.9025 -8.332 -1.067 0.865 20.52 -10.952 MSCL0_1701240059 -16.99456 0.00101 -17.57228 -16.99982 0.00102 -17.57403 -17.00326 0.00103 -17.57522 -17.00598 0.00105 -17.57624 -17.00835 0.00106 -17.57718 
7777.916218 1.8907 -8.325 -0.677 -0.072 19.27 -11.089 MSCL0_1701240060 -16.99723 0.00100 -17.57466 -17.00152 0.00101 -17.57633 -17.00389 0.00103 -17.57765 -17.00574 0.00104 -17.57857 -17.00786 0.00106 -17.57935 
