# BJD(TDB)-2450000 airmass sky(ADU) dx(pix) dy(pix) fwhm(pix) peak(ADU) frame flux(r=28.0) err(r=28.0) flux(r=30.0) err(r=30.0) flux(r=32.0) err(r=32.0) flux(r=34.0) err(r=34.0) flux(r=36.0) err(r=36.0) 
7777.909298 2.0057 894.6 -0.054 -0.136 18.45 23569.4 MSCL1_1701240051 1.002499 0.001939 1.002356 0.001949 1.002447 0.001961 1.002792 0.001973 1.003174 0.001987 
7777.909587 2.0006 893.9 1.236 1.254 18.61 20315.0 MSCL1_1701240052 1.001523 0.001931 1.001908 0.001942 1.002320 0.001954 1.002717 0.001967 1.003270 0.001981 
7777.909877 1.9955 884.9 0.085 -0.773 18.67 21436.0 MSCL1_1701240053 1.004452 0.001928 1.005229 0.001940 1.005562 0.001952 1.006071 0.001965 1.006395 0.001978 
7777.910154 1.9906 867.8 0.250 -0.267 17.58 23147.4 MSCL1_1701240054 1.002752 0.001916 1.002992 0.001927 1.003516 0.001939 1.003817 0.001951 1.004091 0.001964 
7777.910444 1.9856 855.6 0.903 0.744 15.87 28702.4 MSCL1_1701240055 1.004993 0.001911 1.004565 0.001921 1.004593 0.001931 1.004649 0.001943 1.004639 0.001955 
7777.910733 1.9806 844.1 -0.327 1.313 18.66 21154.6 MSCL1_1701240056 0.999821 0.001894 1.000317 0.001905 1.000776 0.001917 1.000962 0.001928 1.001428 0.001941 
7777.911011 1.9758 847.8 -0.814 -1.313 19.08 22330.1 MSCL1_1701240057 1.003679 0.001895 1.004184 0.001906 1.004643 0.001918 1.005107 0.001930 1.005691 0.001943 
7777.911300 1.9708 852.2 1.003 -0.564 18.27 22824.1 MSCL1_1701240058 1.004128 0.001889 1.004466 0.001900 1.004593 0.001911 1.004921 0.001923 1.005099 0.001936 
7777.911578 1.9661 846.4 1.617 1.504 17.53 23667.0 MSCL1_1701240059 1.003653 0.001880 1.003991 0.001891 1.004168 0.001902 1.004149 0.001914 1.004292 0.001926 
7777.911856 1.9614 840.1 0.810 1.430 19.48 19142.5 MSCL1_1701240060 1.003739 0.001874 1.005067 0.001887 1.005909 0.001899 1.006545 0.001912 1.007023 0.001925 
7777.912134 1.9567 834.0 0.584 -1.304 19.85 18677.5 MSCL1_1701240061 1.001434 0.001863 1.002226 0.001874 1.002897 0.001886 1.003659 0.001899 1.004150 0.001912 
7777.912410 1.9520 835.0 0.420 -1.407 19.83 17662.8 MSCL1_1701240062 1.000612 0.001857 1.002172 0.001870 1.003539 0.001883 1.004274 0.001896 1.004702 0.001909 
7777.912688 1.9474 834.0 -0.227 1.190 18.47 20989.1 MSCL1_1701240063 0.996829 0.001842 0.997720 0.001854 0.998241 0.001865 0.998553 0.001877 0.998798 0.001890 
7777.912977 1.9426 834.5 -0.142 1.370 20.98 17054.4 MSCL1_1701240064 0.999208 0.001840 1.000777 0.001853 1.002070 0.001866 1.003162 0.001880 1.003716 0.001893 
7777.913244 1.9382 828.0 1.078 1.085 18.38 21913.7 MSCL1_1701240065 1.001054 0.001837 1.001825 0.001848 1.002741 0.001861 1.003384 0.001873 1.004105 0.001887 
7777.913521 1.9337 821.7 1.147 0.943 18.50 26261.0 MSCL1_1701240066 1.004277 0.001834 1.004212 0.001844 1.003914 0.001855 1.003955 0.001866 1.004155 0.001879 
7777.913811 1.9290 822.4 1.455 0.468 18.77 21044.3 MSCL1_1701240067 1.002401 0.001826 1.002830 0.001837 1.003269 0.001849 1.003471 0.001861 1.003913 0.001874 
7777.914089 1.9245 832.4 -0.135 -0.844 18.22 22624.1 MSCL1_1701240068 1.002032 0.001820 1.002561 0.001831 1.003103 0.001843 1.003508 0.001855 1.003805 0.001868 
7777.914366 1.9200 836.4 -2.089 -0.156 20.54 18551.8 MSCL1_1701240069 1.003025 0.001817 1.003305 0.001828 1.003403 0.001839 1.003373 0.001851 1.003734 0.001864 
7777.914656 1.9153 837.2 -0.266 -0.970 17.52 24231.1 MSCL1_1701240070 1.002758 0.001809 1.002951 0.001820 1.003539 0.001832 1.004062 0.001845 1.004522 0.001859 
7777.914945 1.9107 826.9 1.045 0.002 19.07 19505.1 MSCL1_1701240071 1.005778 0.001807 1.006925 0.001819 1.007948 0.001832 1.008725 0.001845 1.008921 0.001858 
7777.915234 1.9061 813.8 2.159 2.034 17.84 24394.1 MSCL1_1701240072 1.001740 0.001792 1.001744 0.001802 1.001952 0.001813 1.001915 0.001825 1.001959 0.001837 
7777.915512 1.9017 809.5 -0.769 0.374 20.20 20624.7 MSCL1_1701240073 1.001817 0.001786 1.002775 0.001797 1.003731 0.001810 1.004082 0.001822 1.004479 0.001835 
7777.915813 1.8970 800.8 0.512 1.219 17.10 23198.2 MSCL1_1701240074 1.005634 0.001786 1.005816 0.001797 1.006203 0.001808 1.006661 0.001821 1.006752 0.001833 
7777.916091 1.8927 803.7 1.397 0.464 18.61 22033.0 MSCL1_1701240075 1.001266 0.001771 1.001385 0.001782 1.001554 0.001793 1.001856 0.001805 1.002184 0.001818 
7777.916380 1.8882 809.7 0.053 -0.389 17.58 26536.3 MSCL1_1701240076 1.000161 0.001764 1.000065 0.001774 0.999686 0.001784 0.999579 0.001796 0.999715 0.001809 
7777.916658 1.8839 819.3 -0.379 -0.574 17.36 25596.9 MSCL1_1701240077 1.003550 0.001766 1.003782 0.001777 1.003754 0.001788 1.004131 0.001801 1.003967 0.001813 
7777.916947 1.8794 814.4 0.616 -0.157 18.98 22985.0 MSCL1_1701240078 1.002485 0.001758 1.002886 0.001769 1.003197 0.001781 1.003252 0.001793 1.003362 0.001806 
7777.917237 1.8750 897.5 0.824 -0.466 19.24 20838.8 MSCL1_1701240079 1.001880 0.001771 1.002392 0.001784 1.003076 0.001798 1.003593 0.001813 1.003837 0.001828 
7777.917514 1.8708 781.7 1.116 1.436 17.31 27021.9 MSCL1_1701240080 0.997281 0.001734 0.997058 0.001744 0.997076 0.001754 0.997313 0.001766 0.997588 0.001779 
7777.917792 1.8666 780.7 -1.408 2.074 18.29 24195.8 MSCL1_1701240081 1.001620 0.001735 1.002181 0.001746 1.002859 0.001758 1.003259 0.001770 1.003732 0.001783 
7777.918082 1.8623 773.4 -0.495 -1.169 19.27 20165.2 MSCL1_1701240082 1.001612 0.001731 1.002760 0.001743 1.003499 0.001755 1.004227 0.001768 1.004843 0.001781 
7777.918359 1.8581 767.0 1.830 -0.718 19.77 19865.2 MSCL1_1701240083 0.999924 0.001721 1.000845 0.001733 1.001516 0.001745 1.002076 0.001757 1.002237 0.001769 
7777.918649 1.8538 762.7 -1.367 2.097 20.71 17691.1 MSCL1_1701240084 0.998036 0.001712 0.999167 0.001724 1.000132 0.001736 1.000837 0.001749 1.000875 0.001761 
7777.918938 1.8495 764.0 0.015 0.241 17.59 24317.0 MSCL1_1701240085 1.002473 0.001712 1.003182 0.001723 1.003661 0.001735 1.003942 0.001746 1.004083 0.001759 
7777.919204 1.8456 771.9 0.617 -0.884 19.14 21918.9 MSCL1_1701240086 0.999453 0.001705 1.000280 0.001716 1.000860 0.001728 1.001494 0.001740 1.001948 0.001753 
7777.919494 1.8414 955.5 1.645 -2.326 18.97 18076.5 MSCL1_1701240087 1.001297 0.001741 1.002604 0.001757 1.003766 0.001774 1.004907 0.001792 1.005471 0.001809 
7777.919783 1.8372 1110.2 1.184 0.725 19.60 16634.1 MSCL1_1701240088 0.995604 0.001763 0.997478 0.001783 0.998788 0.001804 0.999624 0.001825 1.000000 0.001847 
7777.920049 1.8333 1674.6 -1.236 0.680 17.48 14699.3 MSCL1_1701240089 1.018748 0.002124 1.019810 0.002176 1.019901 0.002228 1.020011 0.002282 1.020581 0.002340 
7777.920327 1.8293 772.0 -0.806 1.105 17.63 22168.2 MSCL1_1701240090 1.004777 0.001693 1.005880 0.001705 1.006787 0.001718 1.007292 0.001730 1.007349 0.001743 
7777.920605 1.8253 755.7 2.021 0.335 18.61 19208.1 MSCL1_1701240091 0.999268 0.001678 1.000569 0.001690 1.001852 0.001703 1.003127 0.001716 1.003983 0.001730 
7777.920894 1.8212 742.7 -0.407 -0.220 17.54 21778.2 MSCL1_1701240092 0.998432 0.001670 0.999467 0.001681 1.000716 0.001694 1.001428 0.001706 1.002086 0.001720 
7777.921172 1.8173 741.7 -1.364 0.672 18.53 21921.5 MSCL1_1701240093 0.999144 0.001664 0.999733 0.001675 1.000467 0.001687 1.001095 0.001699 1.001568 0.001712 
7777.921450 1.8133 739.8 0.772 -0.040 18.08 21737.5 MSCL1_1701240094 1.000001 0.001661 1.001119 0.001672 1.001811 0.001684 1.002184 0.001696 1.002560 0.001709 
7777.921727 1.8094 737.8 2.217 1.113 18.16 25180.9 MSCL1_1701240095 1.004523 0.001662 1.004683 0.001673 1.004745 0.001684 1.004883 0.001695 1.005026 0.001708 
7777.922017 1.8054 732.4 0.705 0.036 16.32 27475.4 MSCL1_1701240096 0.999304 0.001648 0.999294 0.001658 0.999527 0.001669 0.999817 0.001681 0.999946 0.001693 
7777.922283 1.8017 734.0 -3.110 1.082 19.92 18798.1 MSCL1_1701240097 0.999789 0.001646 1.000824 0.001657 1.001707 0.001669 1.002200 0.001681 1.002504 0.001694 
7777.922572 1.7977 735.5 0.292 0.949 18.28 21129.5 MSCL1_1701240098 1.000083 0.001641 1.000941 0.001653 1.001831 0.001665 1.002414 0.001677 1.002997 0.001690 
7777.922850 1.7939 731.4 1.915 -0.892 18.46 21592.1 MSCL1_1701240099 0.998579 0.001632 0.999274 0.001643 0.999951 0.001655 1.000480 0.001667 1.001014 0.001680 
7777.923151 1.7898 725.3 0.316 -0.966 18.53 24846.9 MSCL1_1701240100 1.001811 0.001631 1.001999 0.001641 1.002272 0.001653 1.002500 0.001664 1.002978 0.001677 
7777.923417 1.7861 725.1 0.865 1.994 17.97 22993.2 MSCL1_1701240101 1.002403 0.001628 1.002705 0.001638 1.003025 0.001649 1.003259 0.001661 1.003653 0.001674 
7777.923707 1.7822 724.6 0.950 1.548 18.98 21030.4 MSCL1_1701240102 1.002828 0.001624 1.003248 0.001634 1.003579 0.001645 1.003912 0.001657 1.004386 0.001670 
7777.923984 1.7785 716.8 0.230 0.002 18.34 23042.7 MSCL1_1701240103 1.000723 0.001614 1.000923 0.001624 1.001199 0.001635 1.001660 0.001648 1.001752 0.001660 
7777.924274 1.7746 717.1 -0.415 -0.176 19.26 20674.6 MSCL1_1701240104 1.000580 0.001609 1.000895 0.001620 1.001477 0.001631 1.002014 0.001644 1.002317 0.001656 
7777.924552 1.7709 717.1 -0.780 -0.900 16.39 26265.2 MSCL1_1701240105 1.000923 0.001607 1.000995 0.001617 1.001406 0.001628 1.001406 0.001639 1.001516 0.001652 
7777.924841 1.7671 716.0 1.020 1.394 16.86 25665.6 MSCL1_1701240106 1.000687 0.001599 1.000916 0.001609 1.001275 0.001620 1.001487 0.001632 1.001704 0.001644 
7777.925130 1.7632 717.2 0.668 0.709 16.92 25837.4 MSCL1_1701240107 1.001396 0.001596 1.001688 0.001607 1.002038 0.001618 1.002066 0.001630 1.002392 0.001642 
7777.925396 1.7598 720.0 0.214 -0.482 18.38 21913.4 MSCL1_1701240108 1.002497 0.001595 1.003339 0.001606 1.003682 0.001617 1.004151 0.001630 1.004466 0.001642 
7777.925674 1.7561 719.9 0.636 0.626 19.16 21079.1 MSCL1_1701240109 1.003581 0.001593 1.003910 0.001603 1.004217 0.001615 1.004667 0.001627 1.004825 0.001640 
7777.925952 1.7525 715.9 0.048 -0.436 17.65 24147.6 MSCL1_1701240110 0.997136 0.001576 0.997477 0.001586 0.997876 0.001598 0.997887 0.001609 0.997886 0.001621 
7777.926230 1.7489 710.9 -1.212 0.120 20.69 17241.1 MSCL1_1701240111 0.995479 0.001570 0.996931 0.001582 0.998041 0.001594 0.998788 0.001607 0.998863 0.001619 
7777.926519 1.7452 705.9 1.535 0.672 19.11 20929.1 MSCL1_1701240112 1.002812 0.001577 1.003357 0.001588 1.003766 0.001599 1.004230 0.001611 1.004753 0.001625 
7777.926797 1.7416 707.1 0.604 0.278 16.97 23650.2 MSCL1_1701240113 1.000794 0.001569 1.001107 0.001579 1.001712 0.001591 1.002184 0.001603 1.002539 0.001616 
7777.927086 1.7380 707.1 -0.402 -0.781 16.70 23118.9 MSCL1_1701240114 1.001604 0.001566 1.002461 0.001577 1.003127 0.001589 1.003552 0.001601 1.003795 0.001613 
7777.927364 1.7344 704.5 1.272 -0.457 18.93 20348.1 MSCL1_1701240115 0.996455 0.001553 0.997295 0.001564 0.998037 0.001576 0.998401 0.001588 0.998808 0.001601 
7777.927653 1.7308 697.2 -0.754 0.293 19.08 21008.5 MSCL1_1701240116 1.002108 0.001556 1.002410 0.001567 1.003069 0.001578 1.003594 0.001591 1.004306 0.001604 
7777.927943 1.7272 693.5 0.878 1.142 18.66 23942.8 MSCL1_1701240117 1.000104 0.001548 1.000000 0.001558 0.999977 0.001568 1.000227 0.001580 1.000303 0.001592 
7777.928221 1.7237 696.6 -0.121 2.468 17.54 23493.1 MSCL1_1701240118 0.998769 0.001542 0.998719 0.001551 0.998998 0.001562 0.999256 0.001574 0.999569 0.001587 
7777.928510 1.7201 690.8 0.113 -0.488 18.67 23099.1 MSCL1_1701240119 1.003413 0.001544 1.003619 0.001554 1.003872 0.001566 1.004420 0.001578 1.004929 0.001591 
7777.928788 1.7167 679.8 -0.309 -1.276 18.09 21845.8 MSCL1_1701240120 1.003024 0.001539 1.003981 0.001550 1.004738 0.001562 1.005117 0.001574 1.005476 0.001586 
7777.929054 1.7134 675.5 1.592 -1.387 16.40 27807.6 MSCL1_1701240121 1.003270 0.001533 1.003245 0.001543 1.003511 0.001554 1.003588 0.001565 1.003585 0.001577 
7777.929343 1.7098 670.6 -0.356 1.107 19.20 22328.9 MSCL1_1701240122 0.999974 0.001524 1.000452 0.001534 1.000778 0.001545 1.001031 0.001557 1.001596 0.001569 
7777.929633 1.7063 671.1 0.321 2.601 18.99 20170.1 MSCL1_1701240123 0.998266 0.001518 0.999399 0.001530 0.999931 0.001541 1.000321 0.001553 1.000702 0.001565 
7777.929922 1.7028 671.7 -1.160 -0.406 18.54 21053.4 MSCL1_1701240124 1.002372 0.001519 1.002878 0.001530 1.003406 0.001541 1.003813 0.001553 1.004093 0.001565 
7777.930211 1.6993 665.3 1.072 -1.257 16.86 25018.0 MSCL1_1701240125 1.001194 0.001513 1.001563 0.001523 1.001785 0.001534 1.002110 0.001545 1.002101 0.001557 
7777.930501 1.6959 671.2 -0.024 -1.085 17.46 23697.5 MSCL1_1701240126 1.000299 0.001508 1.000618 0.001519 1.000612 0.001529 1.000914 0.001541 1.000817 0.001553 
7777.930778 1.6925 671.0 1.266 0.160 17.60 22945.5 MSCL1_1701240127 1.002545 0.001508 1.002865 0.001518 1.003203 0.001530 1.003156 0.001541 1.003288 0.001553 
7777.931068 1.6891 664.2 -0.553 1.931 15.95 26096.8 MSCL1_1701240128 0.998407 0.001496 0.998926 0.001507 0.999122 0.001517 0.999436 0.001529 0.999647 0.001541 
7777.931334 1.6860 662.7 0.711 0.081 18.05 22577.0 MSCL1_1701240129 1.003537 0.001500 1.004322 0.001511 1.004806 0.001522 1.005106 0.001534 1.005406 0.001546 
7777.931623 1.6826 660.1 -0.091 1.684 18.29 21509.1 MSCL1_1701240130 0.999867 0.001491 1.000719 0.001502 1.001236 0.001513 1.001655 0.001525 1.002097 0.001537 
7777.931901 1.6793 657.6 0.668 -0.103 19.13 20029.6 MSCL1_1701240131 0.998595 0.001486 0.999679 0.001498 1.000287 0.001509 1.000749 0.001521 1.001001 0.001533 
7777.932179 1.6761 660.3 -0.358 -1.063 17.82 22214.8 MSCL1_1701240132 1.001403 0.001486 1.001898 0.001497 1.002213 0.001508 1.002279 0.001519 1.002598 0.001532 
7777.932457 1.6728 659.3 -0.701 -0.833 18.22 22608.7 MSCL1_1701240133 1.003142 0.001486 1.003726 0.001496 1.004189 0.001508 1.004800 0.001520 1.005243 0.001533 
7777.932734 1.6696 656.3 1.423 1.272 19.37 21329.2 MSCL1_1701240134 1.000068 0.001477 1.000858 0.001488 1.001283 0.001500 1.001673 0.001511 1.001959 0.001524 
7777.933001 1.6666 661.0 0.202 2.437 18.17 22891.1 MSCL1_1701240135 1.002020 0.001477 1.002379 0.001487 1.002661 0.001498 1.002713 0.001510 1.002765 0.001522 
7777.933278 1.6634 664.3 -1.314 -0.654 17.08 24545.3 MSCL1_1701240136 1.003675 0.001475 1.003929 0.001485 1.004186 0.001496 1.004487 0.001508 1.004600 0.001520 
7777.933545 1.6604 659.7 -0.698 -2.224 17.03 23404.3 MSCL1_1701240137 1.001353 0.001467 1.001766 0.001478 1.001966 0.001489 1.002128 0.001500 1.002808 0.001514 
7777.933811 1.6574 652.3 2.539 0.063 17.59 23351.1 MSCL1_1701240138 1.000722 0.001462 1.000825 0.001472 1.001022 0.001483 1.001151 0.001494 1.001345 0.001506 
7777.934100 1.6541 652.0 1.787 1.724 18.75 21956.2 MSCL1_1701240139 1.002708 0.001462 1.003446 0.001473 1.003807 0.001485 1.003873 0.001496 1.004249 0.001509 
7777.934378 1.6510 653.8 -0.639 0.898 17.39 24765.0 MSCL1_1701240140 1.002922 0.001458 1.002964 0.001468 1.003089 0.001479 1.003080 0.001491 1.003349 0.001503 
7777.934667 1.6478 650.0 -0.278 -0.377 18.26 22884.6 MSCL1_1701240141 1.002054 0.001453 1.002133 0.001464 1.002441 0.001475 1.002634 0.001487 1.002768 0.001499 
