# BJD(TDB)-2450000 airmass sky(mag) dx(pix) dy(pix) fwhm(pix) peak(mag) frame mag_t(r=28.0) mag_t-c_err(r=28.0) mag_c(r=28.0) mag_t(r=30.0) mag_t-c_err(r=30.0) mag_c(r=30.0) mag_t(r=32.0) mag_t-c_err(r=32.0) mag_c(r=32.0) mag_t(r=34.0) mag_t-c_err(r=34.0) mag_c(r=34.0) mag_t(r=36.0) mag_t-c_err(r=36.0) mag_c(r=36.0) 
7777.925883 1.7534 -8.195 -1.327 -0.158 21.02 -10.972 MSCL0_1701240073 -17.02958 0.00091 -17.22088 -17.03473 0.00092 -17.22281 -17.03811 0.00093 -17.22434 -17.04097 0.00094 -17.22520 -17.04339 0.00096 -17.22611 
7777.926623 1.7439 -8.180 -0.423 0.353 20.31 -10.938 MSCL0_1701240074 -17.03123 0.00090 -17.22056 -17.03686 0.00091 -17.22269 -17.04059 0.00092 -17.22459 -17.04323 0.00094 -17.22568 -17.04526 0.00095 -17.22647 
7777.927364 1.7344 -8.171 -0.938 -0.417 20.71 -10.934 MSCL0_1701240075 -17.03022 0.00089 -17.22217 -17.03652 0.00090 -17.22461 -17.04046 0.00092 -17.22634 -17.04346 0.00093 -17.22772 -17.04602 0.00094 -17.22858 
7777.928116 1.7250 -8.160 -0.891 1.614 20.32 -10.969 MSCL0_1701240076 -17.03616 0.00089 -17.22742 -17.04140 0.00090 -17.22952 -17.04491 0.00091 -17.23097 -17.04743 0.00092 -17.23213 -17.04939 0.00094 -17.23279 
7777.928857 1.7158 -8.137 -0.526 -1.463 19.06 -11.084 MSCL0_1701240077 -17.04336 0.00088 -17.23122 -17.04826 0.00089 -17.23329 -17.05141 0.00090 -17.23480 -17.05391 0.00092 -17.23589 -17.05598 0.00093 -17.23668 
7777.929598 1.7067 -8.125 -1.336 1.667 20.65 -10.972 MSCL0_1701240078 -17.04149 0.00088 -17.23381 -17.04648 0.00089 -17.23594 -17.05014 0.00090 -17.23763 -17.05308 0.00091 -17.23893 -17.05530 0.00092 -17.23967 
7777.930339 1.6978 -8.117 -0.756 -1.323 19.12 -11.095 MSCL0_1701240079 -17.04321 0.00087 -17.23158 -17.04800 0.00088 -17.23360 -17.05087 0.00089 -17.23503 -17.05326 0.00091 -17.23610 -17.05544 0.00092 -17.23694 
7777.931091 1.6888 -8.106 -0.685 0.820 18.99 -11.071 MSCL0_1701240080 -17.04259 0.00087 -17.23255 -17.04743 0.00088 -17.23448 -17.05040 0.00089 -17.23595 -17.05298 0.00090 -17.23695 -17.05520 0.00091 -17.23760 
7777.931832 1.6801 -8.095 -0.871 0.394 21.21 -10.873 MSCL0_1701240081 -17.04122 0.00086 -17.23376 -17.04704 0.00087 -17.23611 -17.05115 0.00088 -17.23784 -17.05390 0.00089 -17.23901 -17.05624 0.00090 -17.23992 
7777.932584 1.6714 -8.091 -0.816 0.109 20.99 -10.937 MSCL0_1701240082 -17.04110 0.00086 -17.23228 -17.04666 0.00087 -17.23457 -17.05034 0.00088 -17.23605 -17.05304 0.00089 -17.23722 -17.05519 0.00090 -17.23806 
7777.933325 1.6629 -8.088 -1.833 -0.465 19.73 -11.003 MSCL0_1701240083 -17.04048 0.00085 -17.22847 -17.04596 0.00086 -17.23064 -17.04979 0.00087 -17.23226 -17.05257 0.00089 -17.23318 -17.05484 0.00090 -17.23394 
7777.934042 1.6548 -8.074 0.628 0.878 19.48 -11.095 MSCL0_1701240084 -17.04164 0.00085 -17.23299 -17.04654 0.00086 -17.23501 -17.04974 0.00087 -17.23621 -17.05204 0.00088 -17.23741 -17.05416 0.00090 -17.23840 
7777.934795 1.6463 -8.068 -1.581 -0.301 20.13 -11.025 MSCL0_1701240085 -17.04255 0.00084 -17.23241 -17.04729 0.00085 -17.23434 -17.05044 0.00086 -17.23577 -17.05267 0.00088 -17.23696 -17.05494 0.00089 -17.23769 
7777.935535 1.6382 -8.055 0.070 -0.208 20.96 -11.035 MSCL0_1701240086 -17.04532 0.00084 -17.23499 -17.04996 0.00085 -17.23670 -17.05273 0.00086 -17.23814 -17.05481 0.00087 -17.23929 -17.05680 0.00088 -17.23989 
7777.936276 1.6301 -8.041 -0.931 0.743 18.90 -11.244 MSCL0_1701240087 -17.05154 0.00083 -17.24268 -17.05527 0.00084 -17.24433 -17.05757 0.00085 -17.24569 -17.05955 0.00086 -17.24668 -17.06141 0.00088 -17.24745 
7777.937017 1.6221 -8.026 -0.486 0.035 18.52 -11.319 MSCL0_1701240088 -17.05652 0.00083 -17.24650 -17.06057 0.00084 -17.24800 -17.06311 0.00085 -17.24925 -17.06509 0.00086 -17.25003 -17.06688 0.00087 -17.25071 
7777.937769 1.6141 -8.031 -0.601 0.594 20.87 -11.063 MSCL0_1701240089 -17.05130 0.00082 -17.24221 -17.05576 0.00083 -17.24426 -17.05843 0.00084 -17.24566 -17.06050 0.00086 -17.24680 -17.06255 0.00087 -17.24748 
7777.938510 1.6064 -8.025 -1.057 -0.928 21.13 -11.074 MSCL0_1701240090 -17.05065 0.00082 -17.24319 -17.05523 0.00083 -17.24494 -17.05829 0.00084 -17.24630 -17.06041 0.00085 -17.24733 -17.06254 0.00087 -17.24818 
7777.939251 1.5987 -8.021 -0.994 0.624 19.30 -11.116 MSCL0_1701240091 -17.04895 0.00082 -17.24088 -17.05318 0.00083 -17.24241 -17.05596 0.00084 -17.24363 -17.05801 0.00085 -17.24464 -17.05992 0.00086 -17.24530 
7777.939991 1.5911 -8.002 -0.889 -0.731 19.76 -11.145 MSCL0_1701240092 -17.05402 0.00081 -17.24721 -17.05839 0.00082 -17.24910 -17.06108 0.00083 -17.25071 -17.06340 0.00084 -17.25178 -17.06544 0.00086 -17.25244 
7777.940732 1.5836 -7.993 -0.811 0.630 19.81 -11.092 MSCL0_1701240093 -17.05228 0.00081 -17.24785 -17.05723 0.00082 -17.24970 -17.06046 0.00083 -17.25111 -17.06277 0.00084 -17.25227 -17.06504 0.00085 -17.25298 
7777.941484 1.5761 -7.994 -1.119 0.160 20.38 -11.103 MSCL0_1701240094 -17.05222 0.00080 -17.24580 -17.05646 0.00081 -17.24749 -17.05920 0.00082 -17.24858 -17.06113 0.00084 -17.24944 -17.06313 0.00085 -17.25022 
7777.942225 1.5688 -7.987 -0.312 0.852 20.84 -11.023 MSCL0_1701240095 -17.04864 0.00080 -17.24481 -17.05378 0.00081 -17.24688 -17.05699 0.00082 -17.24832 -17.05953 0.00084 -17.24943 -17.06171 0.00085 -17.25036 
7777.942966 1.5616 -7.982 -0.883 0.151 18.75 -11.213 MSCL0_1701240096 -17.05147 0.00079 -17.24794 -17.05521 0.00081 -17.24961 -17.05777 0.00082 -17.25082 -17.05987 0.00083 -17.25172 -17.06185 0.00084 -17.25238 
7777.943718 1.5543 -7.975 -0.889 -0.162 19.96 -11.122 MSCL0_1701240097 -17.04987 0.00079 -17.24709 -17.05375 0.00080 -17.24869 -17.05595 0.00081 -17.24984 -17.05776 0.00083 -17.25076 -17.05951 0.00084 -17.25149 
7777.944471 1.5472 -7.969 -0.525 0.322 19.55 -11.132 MSCL0_1701240098 -17.04778 0.00079 -17.24491 -17.05188 0.00080 -17.24679 -17.05463 0.00081 -17.24788 -17.05679 0.00082 -17.24906 -17.05856 0.00084 -17.24982 
7777.945211 1.5402 -7.947 -1.111 0.526 19.84 -11.148 MSCL0_1701240099 -17.05146 0.00078 -17.25199 -17.05629 0.00079 -17.25417 -17.05963 0.00080 -17.25580 -17.06209 0.00081 -17.25682 -17.06430 0.00083 -17.25770 
7777.945940 1.5334 -7.925 -0.162 -0.340 20.00 -11.134 MSCL0_1701240100 -17.05752 0.00078 -17.25888 -17.06149 0.00079 -17.26042 -17.06387 0.00080 -17.26156 -17.06563 0.00081 -17.26240 -17.06753 0.00082 -17.26301 
7777.946681 1.5266 -7.910 -0.428 0.780 20.65 -11.182 MSCL0_1701240101 -17.06087 0.00077 -17.26101 -17.06517 0.00078 -17.26280 -17.06773 0.00079 -17.26411 -17.06967 0.00080 -17.26520 -17.07168 0.00082 -17.26593 
7777.947422 1.5199 -7.904 -1.009 -0.255 19.98 -11.217 MSCL0_1701240102 -17.05793 0.00077 -17.26106 -17.06192 0.00078 -17.26255 -17.06427 0.00079 -17.26368 -17.06595 0.00081 -17.26463 -17.06770 0.00082 -17.26529 
7777.948174 1.5132 -7.896 -0.288 0.064 19.37 -11.346 MSCL0_1701240103 -17.05781 0.00077 -17.25924 -17.06124 0.00078 -17.26065 -17.06322 0.00079 -17.26164 -17.06471 0.00080 -17.26236 -17.06643 0.00081 -17.26303 
7777.948915 1.5066 -7.884 -1.721 0.375 19.05 -11.287 MSCL0_1701240104 -17.05732 0.00076 -17.26107 -17.06071 0.00077 -17.26231 -17.06297 0.00078 -17.26316 -17.06479 0.00080 -17.26387 -17.06695 0.00081 -17.26453 
7777.949656 1.5002 -7.879 -0.413 -0.339 18.49 -11.324 MSCL0_1701240105 -17.05409 0.00076 -17.25829 -17.05768 0.00077 -17.25966 -17.05986 0.00078 -17.26077 -17.06155 0.00080 -17.26157 -17.06350 0.00081 -17.26220 
7777.950385 1.4939 -7.861 -0.503 0.591 18.47 -11.379 MSCL0_1701240106 -17.05928 0.00075 -17.26413 -17.06200 0.00076 -17.26533 -17.06366 0.00078 -17.26635 -17.06534 0.00079 -17.26706 -17.06686 0.00080 -17.26765 
7777.951137 1.4874 -7.851 -0.452 -0.285 18.70 -11.323 MSCL0_1701240107 -17.05785 0.00075 -17.26626 -17.06117 0.00076 -17.26755 -17.06331 0.00077 -17.26854 -17.06493 0.00078 -17.26925 -17.06636 0.00080 -17.26973 
