# BJD(TDB)-2450000 airmass sky(mag) dx(pix) dy(pix) fwhm(pix) peak(mag) frame mag_t(r=28.0) mag_t-c_err(r=28.0) mag_c(r=28.0) mag_t(r=30.0) mag_t-c_err(r=30.0) mag_c(r=30.0) mag_t(r=32.0) mag_t-c_err(r=32.0) mag_c(r=32.0) mag_t(r=34.0) mag_t-c_err(r=34.0) mag_c(r=34.0) mag_t(r=36.0) mag_t-c_err(r=36.0) mag_c(r=36.0) 
7777.909495 2.0022 -6.553 1.593 1.054 20.01 -10.849 MSCL2_1701240051 -17.08102 0.00174 -15.90761 -17.08479 0.00108 -15.90947 -17.08739 0.00108 -15.91095 -17.08936 0.00108 -15.91217 -17.09084 0.00109 -15.91291 
7777.910120 1.9912 -6.529 1.257 0.148 18.78 -10.932 MSCL2_1701240052 -17.07947 0.00175 -15.90668 -17.08345 0.00175 -15.90865 -17.08623 0.00107 -15.91010 -17.08817 0.00108 -15.91115 -17.08969 0.00108 -15.91216 
7777.910756 1.9802 -6.518 0.634 1.202 19.50 -10.864 MSCL2_1701240053 -17.08162 0.00176 -15.90935 -17.08592 0.00176 -15.91156 -17.08881 0.00175 -15.91337 -17.09090 0.00107 -15.91436 -17.09250 0.00107 -15.91505 
7777.911381 1.9694 -6.523 2.002 0.604 19.71 -10.834 MSCL2_1701240054 -17.08571 0.00178 -15.91143 -17.08986 0.00177 -15.91362 -17.09261 0.00176 -15.91535 -17.09469 0.00176 -15.91645 -17.09628 0.00106 -15.91705 
7777.912006 1.9588 -6.516 1.591 0.304 21.80 -10.606 MSCL2_1701240055 -17.08163 0.00179 -15.91239 -17.08753 0.00179 -15.91512 -17.09143 0.00178 -15.91718 -17.09414 0.00178 -15.91864 -17.09643 0.00178 -15.92007 
7777.912642 1.9482 -6.520 0.894 1.452 20.59 -10.719 MSCL2_1701240056 -17.07759 0.00103 -15.91093 -17.08347 0.00104 -15.91396 -17.08756 0.00104 -15.91606 -17.09025 0.00104 -15.91765 -17.09242 0.00105 -15.91880 
7777.913278 1.9376 -6.512 1.628 1.511 19.82 -10.852 MSCL2_1701240057 -17.08488 0.00103 -15.91458 -17.08985 0.00103 -15.91697 -17.09327 0.00103 -15.91849 -17.09570 0.00104 -15.91999 -17.09764 0.00104 -15.92083 
7777.913903 1.9274 -6.502 1.595 0.454 19.58 -10.860 MSCL2_1701240058 -17.08441 0.00102 -15.91143 -17.08833 0.00102 -15.91320 -17.09100 0.00102 -15.91456 -17.09275 0.00103 -15.91568 -17.09415 0.00103 -15.91627 
7777.914540 1.9172 -6.496 -0.176 0.060 21.00 -10.796 MSCL2_1701240059 -17.08317 0.00101 -15.90941 -17.08750 0.00101 -15.91161 -17.09053 0.00102 -15.91317 -17.09270 0.00102 -15.91428 -17.09438 0.00102 -15.91570 
7777.915165 1.9072 -6.485 2.337 1.645 20.55 -10.803 MSCL2_1701240060 -17.08603 0.00100 -15.91221 -17.09051 0.00101 -15.91429 -17.09346 0.00101 -15.91630 -17.09567 0.00101 -15.91727 -17.09722 0.00102 -15.91820 
7777.915790 1.8974 -6.482 0.734 1.250 19.84 -10.900 MSCL2_1701240061 -17.08616 0.00100 -15.91493 -17.09052 0.00100 -15.91696 -17.09353 0.00100 -15.91867 -17.09577 0.00101 -15.91986 -17.09733 0.00101 -15.92067 
7777.916427 1.8875 -6.485 1.113 0.150 19.60 -10.997 MSCL2_1701240062 -17.08964 0.00099 -15.91887 -17.09286 0.00099 -15.92042 -17.09500 0.00099 -15.92139 -17.09637 0.00100 -15.92208 -17.09763 0.00100 -15.92289 
7777.917052 1.8779 -6.541 1.281 0.362 20.24 -10.825 MSCL2_1701240063 -17.06198 0.00098 -15.88419 -17.06611 0.00099 -15.88592 -17.06883 0.00099 -15.88701 -17.07093 0.00100 -15.88812 -17.07254 0.00100 -15.88885 
7777.917665 1.8685 -6.456 0.562 2.234 19.21 -11.006 MSCL2_1701240064 -17.09290 0.00097 -15.92208 -17.09672 0.00098 -15.92351 -17.09918 0.00098 -15.92495 -17.10099 0.00098 -15.92578 -17.10221 0.00099 -15.92635 
7777.918302 1.8590 -6.452 1.601 -0.058 21.34 -10.675 MSCL2_1701240065 -17.08939 0.00097 -15.91845 -17.09452 0.00097 -15.92088 -17.09784 0.00097 -15.92254 -17.10019 0.00098 -15.92384 -17.10206 0.00098 -15.92496 
7777.918938 1.8495 -6.445 0.425 1.086 19.32 -10.872 MSCL2_1701240066 -17.09233 0.00096 -15.92128 -17.09684 0.00096 -15.92356 -17.09983 0.00097 -15.92514 -17.10197 0.00097 -15.92644 -17.10354 0.00097 -15.92740 
7777.919563 1.8404 -6.641 2.317 -0.341 20.73 -10.633 MSCL2_1701240067 -16.99863 0.00097 -15.82887 -17.00468 0.00097 -15.83107 -17.00864 0.00098 -15.83307 -17.01142 0.00098 -15.83422 -17.01342 0.00099 -15.83527 
7777.920200 1.8311 -6.859 -0.091 1.461 19.45 -10.630 MSCL2_1701240068 -16.83690 0.00099 -15.65141 -16.84262 0.00100 -15.65431 -16.84637 0.00101 -15.65630 -16.84907 0.00101 -15.65838 -16.85126 0.00102 -15.65939 
7777.920836 1.8220 -6.436 1.042 0.895 19.78 -10.768 MSCL2_1701240069 -17.08919 0.00094 -15.92191 -17.09538 0.00094 -15.92466 -17.09963 0.00095 -15.92686 -17.10258 0.00095 -15.92850 -17.10491 0.00096 -15.92987 
7777.921461 1.8132 -6.442 1.602 1.145 20.45 -10.812 MSCL2_1701240070 -17.09549 0.00093 -15.92276 -17.10006 0.00094 -15.92476 -17.10307 0.00094 -15.92616 -17.10514 0.00094 -15.92685 -17.10674 0.00095 -15.92724 
7777.922086 1.8044 -6.418 0.237 1.091 18.89 -10.926 MSCL2_1701240071 -17.09285 0.00093 -15.92453 -17.09778 0.00093 -15.92709 -17.10117 0.00094 -15.92918 -17.10357 0.00094 -15.93071 -17.10535 0.00094 -15.93159 
7777.922700 1.7959 -6.423 1.325 0.514 20.28 -10.813 MSCL2_1701240072 -17.09071 0.00092 -15.92012 -17.09650 0.00093 -15.92281 -17.10029 0.00093 -15.92457 -17.10298 0.00093 -15.92616 -17.10495 0.00094 -15.92768 
7777.923336 1.7872 -6.412 1.248 1.324 20.02 -10.840 MSCL2_1701240073 -17.09885 0.00092 -15.92547 -17.10276 0.00092 -15.92727 -17.10534 0.00092 -15.92901 -17.10720 0.00093 -15.92991 -17.10868 0.00093 -15.93036 
7777.923950 1.7790 -6.411 1.134 0.717 20.55 -10.858 MSCL2_1701240074 -17.09960 0.00091 -15.92660 -17.10357 0.00091 -15.92868 -17.10626 0.00092 -15.93041 -17.10814 0.00092 -15.93178 -17.10970 0.00093 -15.93283 
7777.924575 1.7706 -6.408 0.622 0.509 17.96 -10.975 MSCL2_1701240075 -17.09540 0.00091 -15.92387 -17.10016 0.00091 -15.92648 -17.10340 0.00091 -15.92870 -17.10590 0.00092 -15.93033 -17.10784 0.00092 -15.93144 
7777.925200 1.7623 -6.405 1.033 0.723 19.88 -10.871 MSCL2_1701240076 -17.09645 0.00090 -15.92519 -17.10102 0.00090 -15.92741 -17.10413 0.00091 -15.92901 -17.10645 0.00091 -15.93008 -17.10823 0.00092 -15.93100 
7777.925825 1.7542 -6.409 0.890 0.527 20.33 -10.836 MSCL2_1701240077 -17.09667 0.00090 -15.92597 -17.10096 0.00090 -15.92805 -17.10374 0.00090 -15.92968 -17.10586 0.00091 -15.93095 -17.10764 0.00091 -15.93218 
7777.926450 1.7461 -6.391 1.072 0.973 21.42 -10.665 MSCL2_1701240078 -17.09396 0.00089 -15.92361 -17.09960 0.00089 -15.92606 -17.10342 0.00090 -15.92780 -17.10613 0.00090 -15.92913 -17.10824 0.00090 -15.93047 
7777.927086 1.7380 -6.399 0.915 -0.027 19.37 -10.882 MSCL2_1701240079 -17.09333 0.00089 -15.92269 -17.09831 0.00089 -15.92529 -17.10173 0.00089 -15.92745 -17.10424 0.00090 -15.92875 -17.10618 0.00090 -15.92992 
