# BJD(TDB)-2450000 airmass sky(ADU) dx(pix) dy(pix) fwhm(pix) peak(ADU) frame flux(r=28.0) err(r=28.0) flux(r=30.0) err(r=30.0) flux(r=32.0) err(r=32.0) flux(r=34.0) err(r=34.0) flux(r=36.0) err(r=36.0) 
7777.909495 2.0022 418.0 1.593 1.054 19.09 21855.3 MSCL2_1701240051 1.001836 0.001431 1.001867 0.001449 1.001874 0.001469 1.001793 0.001489 1.002008 0.001511 
7777.910120 1.9912 408.9 1.257 0.148 17.83 23590.5 MSCL2_1701240052 1.000978 0.001422 1.001183 0.001440 1.001367 0.001460 1.001650 0.001481 1.001536 0.001502 
7777.910756 1.9802 404.3 0.634 1.202 18.51 22171.3 MSCL2_1701240053 1.000442 0.001409 1.000786 0.001427 1.000795 0.001446 1.000672 0.001466 1.000750 0.001487 
7777.911381 1.9694 406.7 2.002 0.604 18.87 21555.5 MSCL2_1701240054 1.002301 0.001403 1.002498 0.001421 1.002398 0.001439 1.002318 0.001459 1.002709 0.001481 
7777.912006 1.9588 404.0 1.591 0.304 20.83 17479.3 MSCL2_1701240055 0.998699 0.001392 0.999842 0.001411 1.000560 0.001431 1.000665 0.001451 1.000950 0.001473 
7777.912642 1.9482 405.3 0.894 1.452 19.67 19397.9 MSCL2_1701240056 0.995560 0.001380 0.996700 0.001399 0.997469 0.001419 0.997549 0.001439 0.998125 0.001461 
7777.913278 1.9376 402.4 1.628 1.511 18.95 21910.9 MSCL2_1701240057 1.000272 0.001378 1.001057 0.001398 1.001806 0.001418 1.001833 0.001439 1.002416 0.001461 
7777.913903 1.9274 398.9 1.595 0.454 18.71 22073.6 MSCL2_1701240058 1.001316 0.001371 1.001604 0.001390 1.001575 0.001409 1.001526 0.001430 1.001853 0.001452 
7777.914540 1.9172 396.3 -0.176 0.060 19.98 20814.0 MSCL2_1701240059 1.003251 0.001366 1.003747 0.001385 1.004036 0.001405 1.004171 0.001426 1.003780 0.001446 
7777.915165 1.9072 392.2 2.337 1.645 19.41 20942.2 MSCL2_1701240060 1.001503 0.001354 1.002075 0.001373 1.001869 0.001392 1.002088 0.001412 1.002010 0.001433 
7777.915790 1.8974 391.5 0.734 1.250 18.73 22901.0 MSCL2_1701240061 1.000359 0.001346 1.000615 0.001364 1.000823 0.001384 1.000860 0.001405 1.000988 0.001426 
7777.916427 1.8875 392.6 1.113 0.150 18.47 25046.0 MSCL2_1701240062 0.999936 0.001337 0.999804 0.001355 0.999773 0.001374 0.999580 0.001395 0.999390 0.001416 
7777.917052 1.8779 413.4 1.281 0.362 19.47 21373.9 MSCL2_1701240063 1.004858 0.001355 1.005328 0.001376 1.005893 0.001399 1.005982 0.001421 1.006375 0.001446 
7777.917665 1.8685 382.1 0.562 2.234 18.45 25254.7 MSCL2_1701240064 1.000180 0.001322 1.000661 0.001340 1.000396 0.001359 1.000574 0.001380 1.000354 0.001401 
7777.918302 1.8590 380.5 1.601 -0.058 20.23 18616.9 MSCL2_1701240065 1.000514 0.001316 1.001385 0.001336 1.001853 0.001356 1.001740 0.001376 1.001780 0.001397 
7777.918938 1.8495 378.2 0.425 1.086 18.38 22326.9 MSCL2_1701240066 0.999425 0.001308 0.999976 0.001327 1.000120 0.001346 1.000121 0.001367 1.000281 0.001389 
7777.919563 1.8404 452.7 2.317 -0.341 19.64 17907.7 MSCL2_1701240067 0.997753 0.001354 0.999549 0.001380 1.000221 0.001405 1.000731 0.001431 1.000953 0.001459 
7777.920200 1.8311 554.7 -0.091 1.461 18.44 17869.3 MSCL2_1701240068 1.013445 0.001490 1.014302 0.001524 1.014828 0.001560 1.014945 0.001597 1.015644 0.001637 
7777.920836 1.8220 375.1 1.042 0.895 18.81 20286.7 MSCL2_1701240069 0.997777 0.001285 0.999079 0.001304 0.999829 0.001324 0.999965 0.001344 1.000400 0.001366 
7777.921461 1.8132 377.1 1.602 1.145 19.47 21121.2 MSCL2_1701240070 1.000643 0.001281 1.001286 0.001300 1.001632 0.001320 1.001666 0.001340 1.002014 0.001362 
7777.922086 1.8044 368.6 0.237 1.091 18.28 23461.2 MSCL2_1701240071 0.997223 0.001271 0.997648 0.001289 0.997527 0.001308 0.997587 0.001328 0.997863 0.001350 
7777.922700 1.7959 370.9 1.325 0.514 19.05 21153.7 MSCL2_1701240072 0.998807 0.001270 1.000005 0.001289 1.000738 0.001310 1.000801 0.001330 1.000857 0.001352 
7777.923336 1.7872 366.7 1.248 1.324 19.08 21677.2 MSCL2_1701240073 1.001941 0.001265 1.002092 0.001284 1.001824 0.001303 1.001772 0.001324 1.002054 0.001346 
7777.923950 1.7790 366.5 1.134 0.717 19.54 22030.1 MSCL2_1701240074 1.001086 0.001257 1.001159 0.001276 1.000980 0.001295 1.000685 0.001315 1.000650 0.001336 
7777.924575 1.7706 365.5 0.622 0.509 16.84 24541.2 MSCL2_1701240075 0.999239 0.001251 0.999474 0.001269 0.999338 0.001288 0.999185 0.001309 0.999369 0.001330 
7777.925200 1.7623 364.2 1.033 0.723 18.61 22295.9 MSCL2_1701240076 1.002141 0.001251 1.002497 0.001270 1.002621 0.001290 1.002853 0.001311 1.002869 0.001333 
7777.925825 1.7542 365.5 0.890 0.527 19.39 21592.4 MSCL2_1701240077 0.998929 0.001239 0.999338 0.001258 0.999207 0.001277 0.999004 0.001297 0.999076 0.001319 
7777.926450 1.7461 359.8 1.072 0.973 20.45 18447.2 MSCL2_1701240078 1.000000 0.001237 1.001227 0.001256 1.001912 0.001277 1.002249 0.001298 1.002428 0.001320 
7777.927086 1.7380 362.4 0.915 -0.027 18.13 22540.7 MSCL2_1701240079 0.999417 0.001231 0.999875 0.001249 0.999982 0.001269 1.000410 0.001291 1.000733 0.001313 
7777.927711 1.7301 360.6 0.876 1.091 19.67 21005.1 MSCL2_1701240080 1.001128 0.001229 1.001875 0.001248 1.002222 0.001269 1.002569 0.001290 1.002834 0.001313 
7777.928348 1.7221 357.6 0.735 1.554 18.29 22512.8 MSCL2_1701240081 0.999649 0.001219 0.999742 0.001237 0.999459 0.001256 0.999572 0.001277 0.999743 0.001299 
7777.928973 1.7144 357.3 1.318 -0.858 18.83 23285.1 MSCL2_1701240082 1.000892 0.001217 1.001665 0.001236 1.001963 0.001256 1.001801 0.001277 1.001886 0.001299 
7777.929609 1.7066 356.3 0.407 2.719 19.53 20582.3 MSCL2_1701240083 0.997473 0.001207 0.997778 0.001226 0.998022 0.001246 0.998504 0.001268 0.998628 0.001290 
7777.930223 1.6992 354.4 1.010 -0.848 17.97 24393.9 MSCL2_1701240084 1.002547 0.001207 1.003201 0.001226 1.003528 0.001246 1.003304 0.001267 1.003363 0.001289 
7777.930859 1.6916 354.8 0.769 1.149 18.49 21757.5 MSCL2_1701240085 1.001050 0.001202 1.001200 0.001220 1.001476 0.001241 1.001530 0.001262 1.001593 0.001284 
7777.931484 1.6842 354.5 0.962 1.285 19.38 20102.7 MSCL2_1701240086 1.002202 0.001200 1.002809 0.001220 1.003122 0.001241 1.003491 0.001263 1.003671 0.001285 
7777.932121 1.6767 352.2 0.547 -0.209 18.91 21125.2 MSCL2_1701240087 0.999516 0.001192 1.000045 0.001212 1.000272 0.001232 1.000450 0.001254 1.000581 0.001276 
7777.932734 1.6696 347.4 1.286 1.313 19.95 20685.7 MSCL2_1701240088 1.001219 0.001190 1.001627 0.001209 1.001530 0.001229 1.001468 0.001250 1.001086 0.001272 
7777.933359 1.6625 349.9 -0.273 -0.499 18.33 22654.6 MSCL2_1701240089 1.001797 0.001186 1.001994 0.001205 1.002215 0.001225 1.002238 0.001247 1.002716 0.001270 
7777.933984 1.6554 349.0 2.510 1.289 18.09 23327.5 MSCL2_1701240090 1.000671 0.001179 1.000626 0.001198 1.000360 0.001218 1.000047 0.001239 0.999820 0.001260 
7777.934598 1.6485 349.7 -0.098 0.219 18.59 22858.4 MSCL2_1701240091 1.001882 0.001179 1.001753 0.001199 1.001669 0.001219 1.001733 0.001241 1.001723 0.001264 
7777.935234 1.6415 346.3 0.939 0.133 20.15 20836.9 MSCL2_1701240092 0.998946 0.001170 0.998791 0.001189 0.998652 0.001210 0.998363 0.001231 0.998433 0.001253 
7777.935859 1.6346 343.0 1.464 0.663 19.16 24002.3 MSCL2_1701240093 1.002754 0.001170 1.002927 0.001189 1.003251 0.001210 1.003572 0.001232 1.003341 0.001254 
