# BJD(TDB)-2450000 airmass sky(ADU) dx(pix) dy(pix) fwhm(pix) peak(ADU) frame flux(r=28.0) err(r=28.0) flux(r=30.0) err(r=30.0) flux(r=32.0) err(r=32.0) flux(r=34.0) err(r=34.0) flux(r=36.0) err(r=36.0) 
7777.909495 2.0022 418.2 1.593 1.054 20.01 21855.3 MSCL2_1701240051 1.002269 0.001604 1.001938 0.001621 1.001982 0.001640 1.001831 0.001660 1.001706 0.001681 
7777.910120 1.9912 409.0 1.257 0.148 18.78 23590.5 MSCL2_1701240052 1.001695 0.001593 1.001461 0.001610 1.001707 0.001629 1.001671 0.001649 1.001343 0.001670 
7777.910756 1.9802 404.6 0.634 1.202 19.50 22171.3 MSCL2_1701240053 1.001219 0.001578 1.001054 0.001595 1.001059 0.001613 1.001232 0.001633 1.001271 0.001653 
7777.911381 1.9694 406.8 2.002 0.604 19.71 21555.5 MSCL2_1701240054 1.003073 0.001571 1.002789 0.001588 1.002745 0.001606 1.002798 0.001625 1.002918 0.001646 
7777.912006 1.9588 404.1 1.591 0.304 21.80 17479.3 MSCL2_1701240055 0.998427 0.001557 0.999251 0.001576 0.999967 0.001596 1.000272 0.001616 1.000269 0.001636 
7777.912642 1.9482 405.3 0.894 1.452 20.59 19397.9 MSCL2_1701240056 0.996065 0.001545 0.996592 0.001563 0.997435 0.001583 0.997601 0.001603 0.997751 0.001624 
7777.913278 1.9376 402.6 1.628 1.511 19.82 21910.9 MSCL2_1701240057 0.999403 0.001540 0.999689 0.001558 1.000460 0.001578 1.000468 0.001598 1.000684 0.001620 
7777.913903 1.9274 398.8 1.595 0.454 19.58 22073.6 MSCL2_1701240058 1.001875 0.001534 1.001755 0.001552 1.001985 0.001571 1.001722 0.001591 1.001664 0.001612 
7777.914540 1.9172 396.5 -0.176 0.060 21.00 20814.0 MSCL2_1701240059 1.002598 0.001528 1.002464 0.001546 1.002842 0.001566 1.002969 0.001586 1.002411 0.001606 
7777.915165 1.9072 392.6 2.337 1.645 20.55 20942.2 MSCL2_1701240060 1.002649 0.001516 1.002766 0.001534 1.002652 0.001552 1.002942 0.001573 1.002717 0.001593 
7777.915790 1.8974 391.6 0.734 1.250 19.84 22901.0 MSCL2_1701240061 1.000261 0.001506 1.000321 0.001524 1.000530 0.001543 1.000649 0.001563 1.000539 0.001584 
7777.916427 1.8875 392.8 1.113 0.150 19.60 25046.0 MSCL2_1701240062 0.999841 0.001494 0.999283 0.001511 0.999383 0.001530 0.999163 0.001550 0.998778 0.001570 
7777.917052 1.8779 413.6 1.281 0.362 20.24 21373.9 MSCL2_1701240063 1.006318 0.001517 1.006447 0.001537 1.006956 0.001559 1.007025 0.001581 1.007041 0.001604 
7777.917665 1.8685 382.4 0.562 2.234 19.21 25254.7 MSCL2_1701240064 0.999884 0.001478 1.000000 0.001496 0.999951 0.001515 1.000000 0.001535 0.999805 0.001556 
7777.918302 1.8590 380.9 1.601 -0.058 21.34 18616.9 MSCL2_1701240065 1.000000 0.001472 1.000386 0.001490 1.000931 0.001510 1.001060 0.001530 1.000951 0.001551 
7777.918938 1.8495 378.5 0.425 1.086 19.32 22326.9 MSCL2_1701240066 1.000097 0.001464 1.000055 0.001482 1.000374 0.001501 1.000294 0.001521 1.000068 0.001542 
7777.919563 1.8404 453.2 2.317 -0.341 20.73 17907.7 MSCL2_1701240067 0.998911 0.001512 1.000357 0.001537 1.001185 0.001562 1.001843 0.001588 1.001920 0.001615 
7777.920200 1.8311 553.9 -0.091 1.461 19.45 17869.3 MSCL2_1701240068 1.013490 0.001649 1.013993 0.001682 1.014641 0.001718 1.014363 0.001753 1.014656 0.001792 
7777.920836 1.8220 375.4 1.042 0.895 19.78 20286.7 MSCL2_1701240069 0.996634 0.001434 0.997699 0.001452 0.998610 0.001472 0.998964 0.001492 0.999048 0.001512 
7777.921461 1.8132 377.5 1.602 1.145 20.45 21121.2 MSCL2_1701240070 1.001647 0.001435 1.001921 0.001454 1.002419 0.001473 1.002846 0.001494 1.003163 0.001516 
7777.922086 1.8044 369.0 0.237 1.091 18.89 23461.2 MSCL2_1701240071 0.997587 0.001422 0.997672 0.001440 0.997891 0.001458 0.997838 0.001478 0.997875 0.001499 
7777.922700 1.7959 371.0 1.325 0.514 20.28 21153.7 MSCL2_1701240072 0.999674 0.001420 1.000441 0.001439 1.001323 0.001459 1.001485 0.001479 1.001100 0.001500 
7777.923336 1.7872 367.0 1.248 1.324 20.02 21677.2 MSCL2_1701240073 1.002247 0.001415 1.002093 0.001433 1.001885 0.001451 1.001920 0.001472 1.002074 0.001493 
7777.923950 1.7790 366.6 1.134 0.717 20.55 22030.1 MSCL2_1701240074 1.001893 0.001406 1.001537 0.001423 1.001445 0.001441 1.001057 0.001461 1.000735 0.001481 
7777.924575 1.7706 365.9 0.622 0.509 17.96 24541.2 MSCL2_1701240075 1.000547 0.001401 1.000430 0.001419 1.000379 0.001438 1.000336 0.001458 1.000305 0.001479 
7777.925200 1.7623 364.6 1.033 0.723 19.88 22295.9 MSCL2_1701240076 1.000288 0.001395 1.000362 0.001413 1.000766 0.001433 1.001073 0.001454 1.001069 0.001475 
7777.925825 1.7542 366.0 0.890 0.527 20.33 21592.4 MSCL2_1701240077 0.999774 0.001387 0.999718 0.001405 0.999798 0.001424 0.999726 0.001444 0.999441 0.001465 
7777.926450 1.7461 360.1 1.072 0.973 21.42 18447.2 MSCL2_1701240078 0.999452 0.001381 1.000293 0.001400 1.001227 0.001420 1.001650 0.001441 1.001564 0.001462 
7777.927086 1.7380 362.6 0.915 -0.027 19.37 22540.7 MSCL2_1701240079 0.999719 0.001376 0.999817 0.001394 1.000002 0.001413 1.000262 0.001434 1.000175 0.001455 
7777.927711 1.7301 361.1 0.876 1.091 20.79 21005.1 MSCL2_1701240080 1.001034 0.001373 1.001351 0.001391 1.001973 0.001412 1.002258 0.001433 1.002205 0.001455 
7777.928348 1.7221 357.8 0.735 1.554 19.34 22512.8 MSCL2_1701240081 0.998860 0.001361 0.998563 0.001379 0.998350 0.001398 0.998465 0.001418 0.998290 0.001439 
7777.928973 1.7144 357.5 1.318 -0.858 19.82 23285.1 MSCL2_1701240082 1.001715 0.001360 1.002276 0.001379 1.002691 0.001399 1.002656 0.001419 1.002527 0.001441 
7777.929609 1.7066 356.6 0.407 2.719 20.46 20582.3 MSCL2_1701240083 0.997918 0.001350 0.997925 0.001368 0.998276 0.001388 0.998619 0.001409 0.998126 0.001430 
7777.930223 1.6992 354.6 1.010 -0.848 19.10 24393.9 MSCL2_1701240084 1.002192 0.001348 1.002461 0.001366 1.002869 0.001386 1.002669 0.001406 1.002555 0.001427 
7777.930859 1.6916 355.2 0.769 1.149 19.48 21757.5 MSCL2_1701240085 1.000931 0.001342 1.000590 0.001360 1.000869 0.001380 1.000800 0.001401 1.000553 0.001422 
7777.931484 1.6842 354.9 0.962 1.285 20.52 20102.7 MSCL2_1701240086 1.004529 0.001345 1.004793 0.001364 1.005158 0.001385 1.005600 0.001407 1.005557 0.001429 
7777.932121 1.6767 352.4 0.547 -0.209 19.95 21125.2 MSCL2_1701240087 0.999751 0.001333 0.999993 0.001351 1.000485 0.001372 1.000441 0.001393 1.000117 0.001414 
7777.932734 1.6696 347.8 1.286 1.313 21.04 20685.7 MSCL2_1701240088 1.001484 0.001329 1.001426 0.001348 1.001826 0.001368 1.001773 0.001389 1.001186 0.001410 
7777.933359 1.6625 350.4 -0.273 -0.499 19.39 22654.6 MSCL2_1701240089 1.001569 0.001322 1.001273 0.001340 1.001761 0.001360 1.001669 0.001380 1.001940 0.001403 
7777.933984 1.6554 349.4 2.510 1.289 19.05 23327.5 MSCL2_1701240090 1.001847 0.001318 1.001464 0.001335 1.001339 0.001355 1.001231 0.001375 1.000906 0.001396 
7777.934598 1.6485 350.2 -0.098 0.219 19.50 22858.4 MSCL2_1701240091 1.003191 0.001319 1.002712 0.001337 1.002756 0.001358 1.002781 0.001379 1.002386 0.001401 
7777.935234 1.6415 346.6 0.939 0.133 21.03 20836.9 MSCL2_1701240092 1.000317 0.001310 0.999779 0.001328 0.999771 0.001348 0.999567 0.001368 0.999366 0.001390 
7777.935859 1.6346 343.2 1.464 0.663 19.94 24002.3 MSCL2_1701240093 1.002582 0.001306 1.002306 0.001324 1.002608 0.001345 1.002789 0.001366 1.002510 0.001388 
7777.936473 1.6280 339.7 0.636 0.645 18.70 29124.7 MSCL2_1701240094 1.002845 0.001302 1.002355 0.001320 1.002371 0.001341 1.002067 0.001361 1.001751 0.001383 
7777.937098 1.6213 332.4 0.717 0.720 19.11 27634.8 MSCL2_1701240095 1.000836 0.001289 1.000218 0.001307 1.000000 0.001326 0.999959 0.001347 0.999532 0.001368 
7777.937723 1.6146 329.9 0.818 1.148 20.46 24176.2 MSCL2_1701240096 1.000533 0.001287 1.000036 0.001305 0.999825 0.001324 0.999387 0.001344 0.998929 0.001365 
7777.938348 1.6080 332.9 0.646 -0.666 20.91 24913.2 MSCL2_1701240097 0.999726 0.001283 0.998871 0.001301 0.999181 0.001321 0.999608 0.001343 0.999448 0.001365 
7777.938973 1.6015 328.9 -0.221 1.258 19.18 25564.2 MSCL2_1701240098 1.002201 0.001284 1.002009 0.001303 1.002341 0.001323 1.002400 0.001345 1.002267 0.001367 
7777.939609 1.5950 324.9 0.942 -0.190 19.76 24122.9 MSCL2_1701240099 0.998805 0.001268 0.998361 0.001286 0.998194 0.001305 0.997936 0.001325 0.997573 0.001345 
7777.940223 1.5887 317.7 0.179 0.974 18.93 25176.5 MSCL2_1701240100 0.997257 0.001263 0.996724 0.001280 0.997005 0.001300 0.997067 0.001321 0.996719 0.001342 
7777.940859 1.5823 314.9 0.521 0.188 19.67 24690.0 MSCL2_1701240101 0.997711 0.001260 0.997305 0.001278 0.997318 0.001297 0.997029 0.001317 0.996902 0.001339 
7777.941484 1.5761 314.0 0.049 0.396 20.48 23568.3 MSCL2_1701240102 1.001177 0.001262 1.000872 0.001280 1.000784 0.001299 1.000399 0.001320 1.000002 0.001341 
7777.942109 1.5699 309.2 1.007 1.155 20.96 21974.8 MSCL2_1701240103 0.997564 0.001252 0.997000 0.001270 0.997255 0.001290 0.997196 0.001310 0.996828 0.001331 
7777.942734 1.5638 308.9 0.128 -0.534 18.36 28034.5 MSCL2_1701240104 0.997930 0.001248 0.997506 0.001266 0.997326 0.001286 0.996997 0.001306 0.996635 0.001327 
7777.943371 1.5576 304.4 0.307 1.360 21.27 21673.5 MSCL2_1701240105 0.998269 0.001249 0.997864 0.001267 0.997940 0.001287 0.997571 0.001307 0.997418 0.001329 
7777.943996 1.5517 302.3 0.259 -0.308 19.95 24299.7 MSCL2_1701240106 0.997605 0.001241 0.996795 0.001258 0.996891 0.001278 0.996757 0.001299 0.996232 0.001320 
7777.944633 1.5456 303.0 0.977 0.679 19.43 27068.2 MSCL2_1701240107 0.996516 0.001234 0.996079 0.001252 0.996250 0.001271 0.996443 0.001292 0.996405 0.001314 
7777.945258 1.5398 299.9 0.076 0.970 19.87 24937.7 MSCL2_1701240108 0.993737 0.001228 0.993363 0.001246 0.993396 0.001266 0.993697 0.001287 0.993638 0.001308 
7777.945871 1.5341 297.6 0.961 -0.603 19.84 24525.2 MSCL2_1701240109 0.994230 0.001224 0.994008 0.001242 0.993898 0.001261 0.993645 0.001281 0.993420 0.001303 
7777.946496 1.5283 294.3 0.627 1.644 20.80 25878.0 MSCL2_1701240110 0.993280 0.001217 0.992644 0.001234 0.992477 0.001253 0.992162 0.001272 0.992139 0.001294 
7777.947121 1.5226 292.9 0.075 0.274 20.37 25199.0 MSCL2_1701240111 0.992057 0.001213 0.991452 0.001231 0.991505 0.001250 0.991070 0.001270 0.990362 0.001291 
7777.947746 1.5170 292.2 0.783 -0.261 19.79 26627.3 MSCL2_1701240112 0.992394 0.001210 0.991695 0.001227 0.991380 0.001246 0.990993 0.001266 0.991035 0.001287 
7777.948371 1.5114 287.9 0.421 0.797 19.60 30015.2 MSCL2_1701240113 0.994299 0.001207 0.993099 0.001224 0.992811 0.001243 0.992529 0.001262 0.992455 0.001284 
7777.948996 1.5059 285.8 -0.626 0.493 19.46 28416.3 MSCL2_1701240114 0.988872 0.001199 0.987908 0.001216 0.987866 0.001235 0.987398 0.001255 0.987014 0.001276 
7777.949621 1.5005 285.2 0.744 -0.250 18.72 29424.7 MSCL2_1701240115 0.989757 0.001197 0.989086 0.001215 0.988986 0.001234 0.988691 0.001254 0.988165 0.001275 
7777.950258 1.4950 283.2 0.394 1.001 18.25 31877.5 MSCL2_1701240116 0.990353 0.001194 0.989193 0.001211 0.988530 0.001229 0.988384 0.001250 0.988189 0.001271 
7777.950883 1.4896 279.7 0.354 0.037 19.13 29555.2 MSCL2_1701240117 0.989738 0.001188 0.988742 0.001205 0.988336 0.001223 0.988324 0.001244 0.988312 0.001265 
7777.951508 1.4843 283.7 1.145 0.594 19.13 31255.7 MSCL2_1701240118 0.984071 0.001185 0.983096 0.001202 0.982634 0.001221 0.982300 0.001241 0.982000 0.001263 
7777.952144 1.4790 338.2 -0.229 0.850 19.05 27649.2 MSCL2_1701240119 0.986653 0.001299 0.985312 0.001324 0.984954 0.001351 0.984893 0.001381 0.984799 0.001411 
7777.952769 1.4738 616.0 0.695 0.286 19.41 11190.8 MSCL2_1701240120 0.990883 0.002376 0.989740 0.002478 0.989899 0.002588 0.989697 0.002699 0.989063 0.002809 
7777.953393 1.4686 375.2 0.921 1.207 19.67 23268.2 MSCL2_1701240121 0.991940 0.001376 0.990980 0.001407 0.990631 0.001441 0.990805 0.001477 0.990334 0.001512 
