# BJD(TDB)-2450000 airmass sky(ADU) dx(pix) dy(pix) fwhm(pix) peak(ADU) frame flux(r=28.0) err(r=28.0) flux(r=30.0) err(r=30.0) flux(r=32.0) err(r=32.0) flux(r=34.0) err(r=34.0) flux(r=36.0) err(r=36.0) 
7777.909298 2.0057 895.1 -0.054 -0.136 18.80 23569.4 MSCL1_1701240051 1.001825 0.002170 1.001471 0.002179 1.001705 0.002190 1.001952 0.002202 1.002273 0.002214 
7777.909587 2.0006 894.1 1.236 1.254 18.88 20315.0 MSCL1_1701240052 1.000665 0.002159 1.000811 0.002169 1.001085 0.002180 1.001742 0.002192 1.002327 0.002205 
7777.909877 1.9955 885.1 0.085 -0.773 18.92 21436.0 MSCL1_1701240053 1.004739 0.002159 1.004954 0.002169 1.005211 0.002180 1.005648 0.002192 1.005903 0.002204 
7777.910154 1.9906 868.1 0.250 -0.267 17.87 23147.4 MSCL1_1701240054 1.003723 0.002148 1.003819 0.002157 1.004226 0.002168 1.004312 0.002179 1.004691 0.002192 
7777.910444 1.9856 856.0 0.903 0.744 16.19 28702.4 MSCL1_1701240055 1.005775 0.002142 1.005238 0.002150 1.005433 0.002160 1.005612 0.002172 1.005516 0.002183 
7777.910733 1.9806 844.4 -0.327 1.313 19.04 21154.6 MSCL1_1701240056 0.999461 0.002120 0.999676 0.002130 1.000146 0.002141 1.000275 0.002152 1.000614 0.002164 
7777.911011 1.9758 848.0 -0.814 -1.313 19.48 22330.1 MSCL1_1701240057 1.004184 0.002122 1.004439 0.002132 1.004821 0.002143 1.005308 0.002155 1.005793 0.002167 
7777.911300 1.9708 852.6 1.003 -0.564 18.63 22824.1 MSCL1_1701240058 1.004160 0.002115 1.004167 0.002125 1.004258 0.002135 1.004684 0.002147 1.004968 0.002159 
7777.911578 1.9661 846.9 1.617 1.504 17.88 23667.0 MSCL1_1701240059 1.002906 0.002103 1.002900 0.002113 1.003253 0.002124 1.003313 0.002135 1.003297 0.002146 
7777.911856 1.9614 840.4 0.810 1.430 19.84 19142.5 MSCL1_1701240060 1.003702 0.002098 1.004696 0.002109 1.005356 0.002120 1.005891 0.002132 1.006469 0.002145 
