# BJD(TDB)-2450000 airmass sky(mag) dx(pix) dy(pix) fwhm(pix) peak(mag) frame mag_t(r=28.0) mag_t-c_err(r=28.0) mag_c(r=28.0) mag_t(r=30.0) mag_t-c_err(r=30.0) mag_c(r=30.0) mag_t(r=32.0) mag_t-c_err(r=32.0) mag_c(r=32.0) mag_t(r=34.0) mag_t-c_err(r=34.0) mag_c(r=34.0) mag_t(r=36.0) mag_t-c_err(r=36.0) mag_c(r=36.0) 
7777.909495 2.0022 -6.553 1.593 1.054 19.09 -10.849 MSCL2_1701240051 -17.08102 0.00155 -16.33135 -17.08479 0.00108 -16.33332 -17.08739 0.00108 -16.33476 -17.08936 0.00108 -16.33596 -17.09084 0.00109 -16.33670 
7777.910120 1.9912 -6.529 1.257 0.148 17.83 -10.932 MSCL2_1701240052 -17.07947 0.00156 -16.33074 -17.08345 0.00156 -16.33273 -17.08623 0.00107 -16.33416 -17.08817 0.00108 -16.33492 -17.08969 0.00108 -16.33606 
7777.910756 1.9802 -6.517 0.634 1.202 18.51 -10.864 MSCL2_1701240053 -17.08162 0.00158 -16.33347 -17.08592 0.00157 -16.33563 -17.08881 0.00157 -16.33735 -17.09090 0.00107 -16.33872 -17.09250 0.00107 -16.33972 
7777.911381 1.9694 -6.523 2.002 0.604 18.87 -10.834 MSCL2_1701240054 -17.08571 0.00159 -16.33554 -17.08986 0.00159 -16.33771 -17.09261 0.00158 -16.33942 -17.09469 0.00158 -16.34071 -17.09628 0.00106 -16.34139 
7777.912006 1.9588 -6.516 1.591 0.304 20.83 -10.606 MSCL2_1701240055 -17.08163 0.00161 -16.33537 -17.08753 0.00160 -16.33826 -17.09143 0.00160 -16.34023 -17.09414 0.00160 -16.34196 -17.09643 0.00160 -16.34344 
7777.912642 1.9482 -6.519 0.894 1.452 19.67 -10.719 MSCL2_1701240056 -17.07759 0.00103 -16.33475 -17.08347 0.00104 -16.33762 -17.08756 0.00104 -16.33972 -17.09025 0.00104 -16.34145 -17.09242 0.00105 -16.34250 
7777.913278 1.9376 -6.512 1.628 1.511 18.95 -10.852 MSCL2_1701240057 -17.08488 0.00103 -16.33691 -17.08985 0.00103 -16.33926 -17.09327 0.00103 -16.34072 -17.09570 0.00104 -16.34226 -17.09764 0.00104 -16.34306 
7777.913903 1.9274 -6.502 1.595 0.454 18.71 -10.860 MSCL2_1701240058 -17.08441 0.00102 -16.33531 -17.08833 0.00102 -16.33715 -17.09100 0.00102 -16.33870 -17.09275 0.00103 -16.33963 -17.09415 0.00103 -16.34018 
7777.914540 1.9172 -6.495 -0.176 0.060 19.98 -10.796 MSCL2_1701240059 -17.08317 0.00101 -16.33198 -17.08750 0.00101 -16.33400 -17.09053 0.00102 -16.33557 -17.09270 0.00102 -16.33672 -17.09438 0.00102 -16.33833 
7777.915165 1.9072 -6.484 2.337 1.645 19.41 -10.803 MSCL2_1701240060 -17.08603 0.00100 -16.33673 -17.09051 0.00101 -16.33882 -17.09346 0.00101 -16.34085 -17.09567 0.00101 -16.34194 -17.09722 0.00102 -16.34307 
7777.915790 1.8974 -6.482 0.734 1.250 18.73 -10.900 MSCL2_1701240061 -17.08616 0.00100 -16.33810 -17.09052 0.00100 -16.34041 -17.09353 0.00100 -16.34204 -17.09577 0.00101 -16.34338 -17.09733 0.00101 -16.34430 
