# BJD(TDB)-2450000 airmass sky(mag) dx(pix) dy(pix) fwhm(pix) peak(mag) frame mag_t(r=28.0) mag_t-c_err(r=28.0) mag_c(r=28.0) mag_t(r=30.0) mag_t-c_err(r=30.0) mag_c(r=30.0) mag_t(r=32.0) mag_t-c_err(r=32.0) mag_c(r=32.0) mag_t(r=34.0) mag_t-c_err(r=34.0) mag_c(r=34.0) mag_t(r=36.0) mag_t-c_err(r=36.0) mag_c(r=36.0) 
7777.909298 2.0057 -7.380 -0.054 -0.136 18.80 -10.931 MSCL1_1701240051 -16.97708 0.00235 -16.43704 -16.98047 0.00162 -16.43846 -16.98277 0.00163 -16.43943 -16.98445 0.00163 -16.44023 -16.98589 0.00164 -16.44073 
7777.909587 2.0006 -7.378 1.236 1.254 18.88 -10.770 MSCL1_1701240052 -16.97303 0.00236 -16.43424 -16.97755 0.00235 -16.43626 -16.98059 0.00162 -16.43791 -16.98281 0.00163 -16.43882 -16.98463 0.00163 -16.43941 
7777.909877 1.9955 -7.367 0.085 -0.773 18.92 -10.828 MSCL1_1701240053 -16.97593 0.00236 -16.43274 -16.98023 0.00236 -16.43444 -16.98287 0.00235 -16.43573 -16.98495 0.00162 -16.43673 -16.98653 0.00163 -16.43745 
7777.910154 1.9906 -7.346 0.250 -0.267 17.87 -10.911 MSCL1_1701240054 -16.97700 0.00236 -16.43490 -16.98137 0.00236 -16.43681 -16.98436 0.00236 -16.43829 -16.98635 0.00236 -16.43957 -16.98801 0.00162 -16.44023 
7777.910444 1.9856 -7.331 0.903 0.744 16.19 -11.145 MSCL1_1701240055 -16.98188 0.00237 -16.43757 -16.98497 0.00236 -16.43888 -16.98716 0.00236 -16.43978 -16.98872 0.00236 -16.44054 -16.98995 0.00236 -16.44129 
7777.910733 1.9806 -7.316 -0.327 1.313 19.04 -10.814 MSCL1_1701240056 -16.98030 0.00159 -16.44283 -16.98478 0.00159 -16.44471 -16.98755 0.00159 -16.44590 -16.98948 0.00160 -16.44707 -16.99123 0.00160 -16.44787 
7777.911011 1.9758 -7.321 -0.814 -1.313 19.48 -10.872 MSCL1_1701240057 -16.98414 0.00158 -16.44155 -16.98862 0.00159 -16.44340 -16.99132 0.00159 -16.44460 -16.99353 0.00159 -16.44568 -16.99542 0.00160 -16.44646 
7777.911300 1.9708 -7.327 1.003 -0.564 18.63 -10.896 MSCL1_1701240058 -16.98528 0.00157 -16.44271 -16.98933 0.00158 -16.44440 -16.99197 0.00158 -16.44586 -16.99405 0.00159 -16.44688 -16.99569 0.00159 -16.44762 
7777.911578 1.9661 -7.320 1.617 1.504 17.88 -10.935 MSCL1_1701240059 -16.98688 0.00157 -16.44567 -16.99074 0.00157 -16.44717 -16.99311 0.00158 -16.44809 -16.99472 0.00158 -16.44902 -16.99628 0.00159 -16.45001 
7777.911856 1.9614 -7.311 0.810 1.430 19.84 -10.705 MSCL1_1701240060 -16.98693 0.00156 -16.44486 -16.99214 0.00157 -16.44664 -16.99546 0.00157 -16.44817 -16.99778 0.00157 -16.44930 -16.99963 0.00158 -16.44994 
