# BJD(TDB)-2450000 airmass sky(mag) dx(pix) dy(pix) fwhm(pix) peak(mag) frame mag_t(r=28.0) mag_t-c_err(r=28.0) mag_c(r=28.0) mag_t(r=30.0) mag_t-c_err(r=30.0) mag_c(r=30.0) mag_t(r=32.0) mag_t-c_err(r=32.0) mag_c(r=32.0) mag_t(r=34.0) mag_t-c_err(r=34.0) mag_c(r=34.0) mag_t(r=36.0) mag_t-c_err(r=36.0) mag_c(r=36.0) 
7777.909298 2.0057 -7.379 -0.054 -0.136 18.45 -10.931 MSCL1_1701240051 -16.97708 0.00210 -16.84547 -16.98047 0.00162 -16.84690 -16.98277 0.00163 -16.84808 -16.98445 0.00163 -16.84873 -16.98589 0.00164 -16.84920 
7777.909587 2.0006 -7.378 1.236 1.254 18.61 -10.770 MSCL1_1701240052 -16.97303 0.00210 -16.84247 -16.97755 0.00210 -16.84447 -16.98059 0.00162 -16.84603 -16.98281 0.00163 -16.84717 -16.98463 0.00163 -16.84784 
7777.909877 1.9955 -7.367 0.085 -0.773 18.67 -10.828 MSCL1_1701240053 -16.97593 0.00211 -16.84221 -16.98023 0.00211 -16.84355 -16.98287 0.00211 -16.84480 -16.98495 0.00162 -16.84569 -16.98653 0.00163 -16.84637 
7777.910154 1.9906 -7.346 0.250 -0.267 17.58 -10.911 MSCL1_1701240054 -16.97700 0.00211 -16.84511 -16.98137 0.00211 -16.84711 -16.98436 0.00211 -16.84851 -16.98635 0.00211 -16.84952 -16.98801 0.00162 -16.85033 
7777.910444 1.9856 -7.331 0.903 0.744 15.87 -11.145 MSCL1_1701240055 -16.98188 0.00212 -16.84757 -16.98497 0.00212 -16.84901 -16.98716 0.00212 -16.85014 -16.98872 0.00211 -16.85100 -16.98995 0.00211 -16.85168 
7777.910733 1.9806 -7.316 -0.327 1.313 18.66 -10.814 MSCL1_1701240056 -16.98030 0.00159 -16.85160 -16.98478 0.00159 -16.85341 -16.98755 0.00159 -16.85466 -16.98948 0.00160 -16.85574 -16.99123 0.00160 -16.85644 
7777.911011 1.9758 -7.321 -0.814 -1.313 19.08 -10.872 MSCL1_1701240057 -16.98414 0.00158 -16.85125 -16.98862 0.00159 -16.85307 -16.99132 0.00159 -16.85424 -16.99353 0.00159 -16.85531 -16.99542 0.00160 -16.85601 
7777.911300 1.9708 -7.326 1.003 -0.564 18.27 -10.896 MSCL1_1701240058 -16.98528 0.00157 -16.85190 -16.98933 0.00158 -16.85348 -16.99197 0.00158 -16.85495 -16.99405 0.00159 -16.85603 -16.99569 0.00159 -16.85692 
7777.911578 1.9661 -7.319 1.617 1.504 17.53 -10.935 MSCL1_1701240059 -16.98688 0.00157 -16.85402 -16.99074 0.00157 -16.85539 -16.99311 0.00158 -16.85655 -16.99472 0.00158 -16.85753 -16.99628 0.00159 -16.85839 
7777.911856 1.9614 -7.311 0.810 1.430 19.48 -10.705 MSCL1_1701240060 -16.98693 0.00156 -16.85397 -16.99214 0.00157 -16.85564 -16.99546 0.00157 -16.85702 -16.99778 0.00157 -16.85800 -16.99963 0.00158 -16.85879 
7777.912134 1.9567 -7.303 0.584 -1.304 19.85 -10.678 MSCL1_1701240061 -16.98339 0.00156 -16.85294 -16.98915 0.00156 -16.85571 -16.99298 0.00156 -16.85780 -16.99550 0.00157 -16.85885 -16.99764 0.00157 -16.85990 
