# BJD(TDB)-2450000 airmass sky(ADU) dx(pix) dy(pix) fwhm(pix) peak(ADU) frame flux(r=28.0) err(r=28.0) flux(r=30.0) err(r=30.0) flux(r=32.0) err(r=32.0) flux(r=34.0) err(r=34.0) flux(r=36.0) err(r=36.0) 
7777.909506 2.0020 2403.4 -0.935 0.031 20.40 25088.1 MSCL0_1701240051 1.009818 0.001400 1.010042 0.001416 1.010846 0.001434 1.011295 0.001452 1.011341 0.001470 
7777.910247 1.9890 2331.7 -1.152 -0.389 18.66 27535.2 MSCL0_1701240052 1.010929 0.001384 1.011041 0.001399 1.011765 0.001416 1.012088 0.001433 1.012318 0.001451 
7777.910988 1.9762 2285.2 -1.875 -0.652 20.48 24268.0 MSCL0_1701240053 1.008083 0.001366 1.008988 0.001382 1.010027 0.001399 1.010490 0.001416 1.010377 0.001433 
7777.911740 1.9633 2258.8 -0.495 0.616 20.46 23723.2 MSCL0_1701240054 1.007579 0.001354 1.008756 0.001369 1.009470 0.001386 1.009951 0.001403 1.010182 0.001421 
7777.912480 1.9509 2234.5 -1.299 -0.820 21.79 22032.3 MSCL0_1701240055 1.005631 0.001340 1.007031 0.001355 1.008689 0.001373 1.009702 0.001390 1.010018 0.001408 
7777.913232 1.9384 2211.1 -0.912 0.765 20.84 24325.8 MSCL0_1701240056 1.009549 0.001332 1.010616 0.001348 1.011747 0.001365 1.012530 0.001382 1.012799 0.001399 
7777.913984 1.9261 2202.9 -1.234 -0.501 19.99 24663.4 MSCL0_1701240057 1.007475 0.001319 1.007952 0.001334 1.008885 0.001350 1.009630 0.001367 1.009918 0.001385 
7777.914725 1.9142 2194.0 -1.542 -0.512 20.60 23384.1 MSCL0_1701240058 1.010053 0.001314 1.010624 0.001330 1.011571 0.001347 1.011893 0.001364 1.012482 0.001382 
7777.915466 1.9025 2149.1 -1.067 0.865 20.86 24025.2 MSCL0_1701240059 1.006901 0.001295 1.007835 0.001310 1.008747 0.001327 1.009431 0.001343 1.009698 0.001361 
7777.916218 1.8907 2136.9 -0.677 -0.072 19.50 27276.1 MSCL0_1701240060 1.007034 0.001283 1.007230 0.001298 1.007282 0.001313 1.007442 0.001329 1.007863 0.001346 
7777.916959 1.8793 2173.4 -1.143 -0.413 20.10 25210.3 MSCL0_1701240061 1.008389 0.001285 1.008776 0.001300 1.009383 0.001317 1.009824 0.001334 1.009856 0.001352 
7777.917700 1.8680 2072.6 -1.892 1.160 19.76 27666.3 MSCL0_1701240062 1.005610 0.001260 1.006029 0.001275 1.006517 0.001290 1.006922 0.001306 1.007120 0.001323 
7777.918452 1.8567 2040.3 -1.036 -0.068 22.02 21479.8 MSCL0_1701240063 1.005559 0.001250 1.006564 0.001264 1.007780 0.001280 1.008538 0.001296 1.008519 0.001313 
7777.919193 1.8458 2068.6 -0.676 -0.986 20.15 24868.3 MSCL0_1701240064 1.004879 0.001245 1.005515 0.001260 1.006073 0.001276 1.006950 0.001293 1.007173 0.001310 
7777.919922 1.8352 2673.4 -1.390 0.167 20.78 17534.2 MSCL0_1701240065 1.012284 0.001402 1.013936 0.001431 1.015279 0.001462 1.016109 0.001494 1.017172 0.001528 
7777.920674 1.8243 2002.6 -0.630 0.257 19.77 24410.3 MSCL0_1701240066 1.005065 0.001222 1.006149 0.001237 1.007441 0.001253 1.008344 0.001269 1.008800 0.001286 
7777.921415 1.8138 1975.2 -0.865 0.331 20.83 24856.2 MSCL0_1701240067 1.006557 0.001212 1.007769 0.001226 1.008744 0.001242 1.009524 0.001258 1.009778 0.001274 
7777.922156 1.8035 1960.5 -2.635 0.248 20.40 25158.6 MSCL0_1701240068 1.004093 0.001202 1.004899 0.001216 1.006400 0.001232 1.007091 0.001248 1.007488 0.001265 
7777.922896 1.7933 1946.7 0.188 -0.668 20.23 24885.7 MSCL0_1701240069 1.006176 0.001194 1.006881 0.001208 1.007567 0.001223 1.008001 0.001239 1.008176 0.001255 
7777.923637 1.7832 1929.8 -0.606 1.158 20.07 25938.6 MSCL0_1701240070 1.008444 0.001188 1.008979 0.001202 1.009814 0.001217 1.010231 0.001233 1.010708 0.001249 
7777.924389 1.7731 1911.3 -1.405 -0.641 20.59 25533.9 MSCL0_1701240071 1.006683 0.001175 1.007264 0.001189 1.007991 0.001204 1.008606 0.001219 1.008997 0.001235 
7777.925130 1.7633 1907.1 -0.870 0.329 19.32 26297.1 MSCL0_1701240072 1.003816 0.001167 1.004449 0.001181 1.005413 0.001196 1.006326 0.001212 1.006814 0.001229 
7777.925883 1.7534 1896.4 -1.327 -0.158 21.02 24475.9 MSCL0_1701240073 1.004328 0.001160 1.005047 0.001174 1.005782 0.001189 1.006875 0.001205 1.007258 0.001221 
7777.926623 1.7439 1871.1 -0.423 0.353 20.31 23722.4 MSCL0_1701240074 1.006164 0.001152 1.007123 0.001166 1.007858 0.001181 1.008532 0.001196 1.008657 0.001212 
7777.927364 1.7344 1855.7 -0.938 -0.417 20.71 23634.0 MSCL0_1701240075 1.003736 0.001141 1.005033 0.001156 1.006117 0.001171 1.006840 0.001186 1.007395 0.001202 
7777.928116 1.7250 1836.5 -0.891 1.614 20.32 24403.8 MSCL0_1701240076 1.004378 0.001134 1.005004 0.001148 1.005950 0.001163 1.006437 0.001178 1.006627 0.001194 
7777.928857 1.7158 1797.6 -0.526 -1.463 19.06 27145.9 MSCL0_1701240077 1.007520 0.001127 1.007870 0.001140 1.008425 0.001154 1.008961 0.001169 1.009130 0.001185 
7777.929598 1.7067 1778.6 -1.336 1.667 20.65 24469.0 MSCL0_1701240078 1.003394 0.001117 1.003767 0.001130 1.004627 0.001145 1.005379 0.001160 1.005722 0.001176 
7777.930339 1.6978 1765.6 -0.756 -1.323 19.12 27424.3 MSCL0_1701240079 1.007049 0.001113 1.007344 0.001126 1.007703 0.001140 1.008170 0.001155 1.008392 0.001171 
7777.931091 1.6888 1747.7 -0.685 0.820 18.99 26819.8 MSCL0_1701240080 1.005570 0.001104 1.005999 0.001117 1.006416 0.001130 1.007116 0.001145 1.007557 0.001161 
7777.931832 1.6801 1730.6 -0.871 0.394 21.21 22355.5 MSCL0_1701240081 1.003184 0.001094 1.004126 0.001107 1.005356 0.001121 1.006068 0.001136 1.006366 0.001151 
7777.932584 1.6714 1723.5 -0.816 0.109 20.99 23694.1 MSCL0_1701240082 1.004438 0.001091 1.005200 0.001104 1.006264 0.001118 1.006918 0.001133 1.007119 0.001149 
7777.933325 1.6629 1719.3 -1.833 -0.465 19.73 25188.1 MSCL0_1701240083 1.007402 0.001088 1.008193 0.001101 1.009271 0.001116 1.010244 0.001131 1.010616 0.001147 
7777.934042 1.6548 1696.6 0.628 0.878 19.48 27427.1 MSCL0_1701240084 1.004283 0.001078 1.004678 0.001091 1.005560 0.001106 1.005819 0.001121 1.005851 0.001136 
7777.934795 1.6463 1686.9 -1.581 -0.301 20.13 25706.6 MSCL0_1701240085 1.005669 0.001073 1.005997 0.001085 1.006614 0.001099 1.006828 0.001114 1.007218 0.001129 
7777.935535 1.6382 1666.6 0.070 -0.208 20.96 25933.5 MSCL0_1701240086 1.005843 0.001067 1.006275 0.001080 1.006552 0.001093 1.006650 0.001108 1.006913 0.001123 
7777.936276 1.6301 1645.2 -0.931 0.743 18.90 31441.7 MSCL0_1701240087 1.004483 0.001056 1.004128 0.001068 1.004039 0.001081 1.004186 0.001095 1.004175 0.001109 
7777.937017 1.6221 1623.2 -0.486 0.035 18.52 33703.6 MSCL0_1701240088 1.005558 0.001051 1.005639 0.001063 1.005874 0.001077 1.006221 0.001091 1.006219 0.001106 
7777.937769 1.6141 1630.6 -0.601 0.594 20.87 26624.7 MSCL0_1701240089 1.004695 0.001045 1.004647 0.001058 1.004854 0.001071 1.004956 0.001085 1.005203 0.001100 
7777.938510 1.6064 1621.8 -1.057 -0.928 21.13 26892.9 MSCL0_1701240090 1.003187 0.001039 1.003533 0.001052 1.004141 0.001066 1.004385 0.001080 1.004544 0.001095 
7777.939251 1.5987 1615.8 -0.994 0.624 19.30 27941.8 MSCL0_1701240091 1.003748 0.001036 1.003979 0.001049 1.004453 0.001063 1.004651 0.001077 1.004795 0.001092 
7777.939991 1.5911 1587.4 -0.889 -0.731 19.76 28699.3 MSCL0_1701240092 1.002590 0.001027 1.002607 0.001039 1.002643 0.001053 1.003039 0.001067 1.003297 0.001082 
7777.940732 1.5836 1575.2 -0.811 0.630 19.81 27336.0 MSCL0_1701240093 1.000393 0.001019 1.000982 0.001032 1.001698 0.001046 1.002006 0.001060 1.002426 0.001075 
7777.941484 1.5761 1576.4 -1.119 0.160 20.38 27615.5 MSCL0_1701240094 1.002222 0.001017 1.002309 0.001030 1.002873 0.001044 1.003099 0.001058 1.003205 0.001073 
7777.942225 1.5688 1566.7 -0.312 0.852 20.84 25652.1 MSCL0_1701240095 0.999840 0.001012 1.000400 0.001025 1.001079 0.001039 1.001628 0.001054 1.001773 0.001069 
7777.942966 1.5616 1558.3 -0.883 0.151 18.75 30575.9 MSCL0_1701240096 0.999567 0.001004 0.999208 0.001016 0.999490 0.001030 0.999838 0.001045 1.000039 0.001060 
