# BJD(TDB)-2450000 airmass sky(mag) dx(pix) dy(pix) fwhm(pix) peak(mag) frame mag_t(r=28.0) mag_t-c_err(r=28.0) mag_c(r=28.0) mag_t(r=30.0) mag_t-c_err(r=30.0) mag_c(r=30.0) mag_t(r=32.0) mag_t-c_err(r=32.0) mag_c(r=32.0) mag_t(r=34.0) mag_t-c_err(r=34.0) mag_c(r=34.0) mag_t(r=36.0) mag_t-c_err(r=36.0) mag_c(r=36.0) 
7777.909506 2.0020 -8.455 -0.935 0.031 20.59 -10.761 MSCL0_1701240051 -16.96671 0.00177 -16.24006 -16.97099 0.00110 -16.24165 -16.97402 0.00111 -16.24292 -16.97648 0.00113 -16.24374 -16.97849 0.00114 -16.24498 
7777.910247 1.9890 -8.421 -1.152 -0.389 18.44 -10.871 MSCL0_1701240052 -16.97401 0.00180 -16.24625 -16.97844 0.00179 -16.24798 -16.98149 0.00110 -16.24987 -16.98370 0.00111 -16.25111 -16.98589 0.00113 -16.25193 
7777.910988 1.9762 -8.399 -1.875 -0.652 20.32 -10.760 MSCL0_1701240053 -16.97846 0.00182 -16.25576 -16.98347 0.00182 -16.25732 -16.98697 0.00180 -16.25894 -16.98915 0.00110 -16.26039 -16.99102 0.00112 -16.26147 
7777.911740 1.9633 -8.387 -0.495 0.616 20.60 -10.695 MSCL0_1701240054 -16.98341 0.00186 -16.25559 -16.98908 0.00185 -16.25737 -16.99241 0.00183 -16.25903 -16.99475 0.00184 -16.25989 -16.99685 0.00111 -16.26087 
7777.912480 1.9509 -8.375 -1.299 -0.820 21.56 -10.620 MSCL0_1701240055 -16.98065 0.00189 -16.25546 -16.98735 0.00188 -16.25900 -16.99195 0.00186 -16.26142 -16.99526 0.00187 -16.26294 -16.99785 0.00187 -16.26416 
7777.913232 1.9384 -8.364 -0.912 0.765 20.81 -10.745 MSCL0_1701240056 -16.99064 0.00104 -16.25959 -16.99651 0.00105 -16.26232 -17.00032 0.00106 -16.26385 -17.00320 0.00108 -16.26470 -17.00554 0.00109 -16.26522 
7777.913984 1.9261 -8.360 -1.234 -0.501 20.25 -10.746 MSCL0_1701240057 -16.98558 0.00103 -16.26017 -16.99042 0.00104 -16.26184 -16.99366 0.00105 -16.26285 -16.99609 0.00106 -16.26369 -16.99823 0.00108 -16.26421 
7777.914725 1.9142 -8.355 -1.542 -0.512 20.41 -10.722 MSCL0_1701240058 -16.98486 0.00102 -16.25778 -16.99012 0.00103 -16.26015 -16.99369 0.00105 -16.26206 -16.99613 0.00106 -16.26284 -16.99840 0.00108 -16.26426 
7777.915466 1.9025 -8.333 -1.067 0.865 20.72 -10.743 MSCL0_1701240059 -16.99456 0.00101 -16.26960 -16.99982 0.00102 -16.27122 -17.00326 0.00103 -16.27192 -17.00598 0.00105 -16.27261 -17.00835 0.00106 -16.27346 
7777.916218 1.8907 -8.326 -0.677 -0.072 19.46 -10.870 MSCL0_1701240060 -16.99723 0.00100 -16.27162 -17.00152 0.00101 -16.27340 -17.00389 0.00103 -16.27485 -17.00574 0.00104 -16.27592 -17.00786 0.00106 -16.27720 
7777.916959 1.8793 -8.345 -1.143 -0.413 19.89 -10.799 MSCL0_1701240061 -16.97484 0.00100 -16.24922 -16.97936 0.00101 -16.25121 -16.98217 0.00103 -16.25212 -16.98448 0.00104 -16.25294 -16.98647 0.00106 -16.25371 
7777.917700 1.8680 -8.293 -1.892 1.160 19.73 -10.869 MSCL0_1701240062 -17.00750 0.00098 -16.28136 -17.01202 0.00100 -16.28331 -17.01500 0.00101 -16.28465 -17.01718 0.00102 -16.28556 -17.01918 0.00104 -16.28631 
