id,name,RA,Decl,V_mag,R_star,M_star,Priority,SpcType,comments,period,period_error,t0,t0_error,depth,duration,Rs_a,Mp,Rp,filler,public,tess,required_observations,done,observations,stellar_density
171;"WASP-33b";36.71275;37.5505;8.3;;;3;"A5 VI";"Noriharu. Program to detect orbital precession. -- Noriharu & Crouzet: modification of the transit duration (the longest value in literature is introduced)--";1.21986983;0;2454163.22373;0;0.01136;0.1188;;;;0;;;1;"Yes";10;
313;"TOI00414.01";36.85335;-12.038913888889;9.5;;;2;;"TESS target. Three stars in central pixel; possible EB";1.8249;0;2458411.519;0;19681;0.07625;;;;0;;1;1;"No";0;
292;"TOI00263.01";37.108083333333;-25.097388888889;18.97;;;2;"M";"TFOP sector S3. A USP Neptune candidate around a mid-M star (Teff=3116K). Faint, but large transit depth (0.064). We want to continue hitting this star to see possible signs of it accelerating and falling to the star.";0.556737;7.3E-5;2458386.172349;0.00147;;0.03553;;;;0;;1;8;"No";3;
6;"WASP-77 A b";37.155120833333;-7.0606666666667;10.3;0.955;1.002;4;;"Complementary to our GTC/OSIRIS R1000R transmission spectrum, with addition of bluer bands. To distinguish between Rayleigh scattering and TiO/VO.";1.3600309;2.0E-6;2455870.44977;0.00014;0.01693;0.09;5.43;1.21;1.21;0;;;1;"No";0;1.1504231349863
90;"HAT-P-47";38.308145833333;30.360500277778;10.61;;;3;;"Nicolas. Puffy hot Jupiter around a bright star. Measure the Rayleigh scattering and TiO/VO. Complement and validate the NOT ALFOSC observations.";4.732182;1.3E-5;2455661.63669;0.00041;;0.1287;;;;0;;;1;"No";0;
312;"TOI00393.01";42.2493;-14.5379;12.6;;;2;;"TESS target. May be on 29960110; Confirm event on target with high precision (<~1.5ppt/min) and/or check field for NEBs within 2.5'.";2.4922;0;2458411.669;0;1114;0.066875;;;;0;;1;1;"No";0;
165;"J02530+168";43.253541666667;16.881472222222;14.3;;;5;;"Rafa Luque. J=8.394, Very large proper motion. M7. CARMENES GTO survey candidates. Work coordinated with other observatories. *IMPORTANT: this Target need to be observed during the whole night*";4.90986565079;0;2458199.72563;0;;0.04166;;;;2;;;1;"Yes";18;
208;"HAT-P-48";44.470904166667;30.625688888889;12.5;;;2;"F";"GUO. Puffy planet to search for slope of haze or hints of Na/K/TiO/VO";4.40865;8.0E-6;2455839.21023;0.00029;0.009;0.1411;;;;0;;;1;"Yes";1;
298;"WD0300-013";45.721333333333;-1.1426388888889;16.2;;;3;;"Pablo's Program. This targets needs 2 time slots of 2 hours each.";;0;;0;;;;;;1;;;2;"No";0;
296;"WD0307+077";47.538166666667;7.959;16.25;;;5;;"Pablo Program. This targets needs 2 time slots of 2 hours each.";;0;;0;;;;;;1;;;2;"Yes";2;
305;"CD Cet";48.345791666667;4.7748333333333;14;;;2;"M";"Enric. CARMENES target, possible transits";2.290501;0;2457620.25003;0;;0.04;;;;0;;;1;"No";0;
309;"TOI00394.01";48.499541666667;-8.5735833333333;8.5;;;2;;"TESS target. Observe in focussed images We do not find anything in our data, but have problems with Dome vignetting and perhaps wrong ephemeris. We do not report it";0.39149;0;2458411.269;0;;0.03;;;;0;;1;1;"Yes";1;
68;"DH117";51.9555;47.459277777778;18;;;5;"M";"Lodieu. search for eclipses. Spectroscopic binary discovered with WHT ISIS, would like to search for eclipses but don't have yet enough information on t0 and period.";;0;;0;;;;;;2;;;1;"No";0;
72;"EPIC210363145";55.228416666667;12.572611111111;12.16;;;4;"early-K";"multi-colour transit + improve ephemeris. Eclipsing binary close in space to the Pleiades cluster (Gaidos+2016)";8.1998;0.001;2457070.80576;0.00174;0.001;0.1029;;;;0;;;1;"No";0;
61;"HCG76";55.61375;22.573583333333;17;;;4;"M3.0";"Lodieu. Follow-up of eclipses to constrain ephemerides";32.747;0;2457068.748;0;;0.13;;;;0;;;1;"No";0;
314;"TOI-438 -TIC468880077";56.504333333333;9.9904166666667;10.2;;;5;;"TESS Sector 5, a tentative candidate before allocating a TOI number. The period is rounded. Ephemeris is only applicable on Feb 7, 2019. No findings";5.81;0;2458516.553;0;;0.075;;;;0;;1;1;"Yes";1;
62;"MH09";56.730041666667;24.188;19;;;4;"M4.5";"Lodieu. Follow-up of eclipses to constrain ephemerides";42.8;0;2457099.21943;0;;0.17;;;;0;;;1;"No";0;
63;"HII2407";57.426125;24.463055555556;12.29;0.77;;4;"K3";"Lodieu. Follow-up of this eclipsing binary whose secondary has not been detected yet. VLT and GTC data available for it to detect the secondary";7.0504829;4.7E-6;2456916.65777;0.00014;0.06;0.1;;;;0;;;1;"Yes";1;
179;"K2-90b";59.152416666667;22.472638888889;13.85;0.634;0.705;4;;;13.7311;0.0014;2457078.6648;0.0025;0.14;0.128;33.9;;0.182;0;;;1;"No";0;2.7664405599207
299;"WD0408-041";62.759;-3.9729166666667;15.6;;;5;;"Pablo's Program. This targets needs 2 time slots of 2 hours each.";;0;;0;;;;;;1;;;2;"Yes";2;
4;"K2-25 b";63.273333333333;15.247783333333;15.6;0.295;0.294;3;;"Proposed by: J. de Leon and J. Livingston for atmospheres of planets in a young cluster We propose to observe a relatively unexplored population planets in young clusters. Due to their youth, these planets are experiencing high levels of UV irradiation which is the main factor of haze formation. Depending on their age, some younger planets are still undergoing contraction and hence their atmosphere if it exists are relatively puffy than current estimates. Investigating the wavelength-dependent radius variation can provide an insight to the existence such atmosphere and haze from the Rayleigh slope.";3.484552;3.7E-5;2457062.57935;0.00036;;0.0308;21.9;0.036;;0;;;1;"Yes";3;11.451998500334
288;"GJ3270";64.327220833333;8.8227819444444;13.84;;;5;;"Rafa, Victor, Carmenes, please check for special observations. It is NOT an object for planet searches";;0;;0;;;;;;2;;;1;"Yes";1;
316;"TOI00427.01";64.657066666667;-17.419877777778;11;;;2;;"TESS target. Possible EB, confirm";0.60952;0;2458438.32766;0;;0.042;;;;0;;1;1;"No";0;
109;"WASP-79b";66.3709;-30.600445277778;10.04;;;2;"F5";"Nicolas. JWST ERS target. Measure scale height, TiO/VO, and constrain the spectrum in the visible.";3.6623817;5.1E-6;2455545.23479;0.00125;;0.1661;;;;0;;;1;"No";0;
67;"EPIC248033498";67.06325;26.0549;18;;;5;"M";"Lodieu. Confirm eclipses in this potential members of Taurus.";1.437;0.02;2457847.43;0.02;0.05;0.25;;;;0;;;1;"No";0;
181;"K2-136c";67.412470833333;22.882722222222;11.2;0.66;0.74;3;"K5.5V";"Proposed by: J. de Leon and J. Livingston for atmospheres and TTV of planets in a young cluster We propose to observe a relatively unexplored population planets in young clusters. Due to their youth, these planets are experiencing high levels of UV irradiation which is the main factor of haze formation. Depending on their age, some younger planets are still undergoing contraction and hence their atmosphere if it exists are relatively puffy than current estimates. Investigating the wavelength-dependent radius variation can provide an insight to the existence such atmosphere and haze from the Rayleigh slope. Moreover, TTV analysis of multi-epoch data can provide possible constraint on the dynamical masses of the multi-planet system K2-136.";17.3077;0.0013;2457812.7177;0.001;0.15;0.15;39;;0.26;0;;;1;"Yes";1;2.5739488549406
66;"EPIC248023313";67.943083333333;25.977825;18;;;5;"M";"Lodieu. Confirm eclipses in this potential members of Taurus.";0.923;0.02;2457833.8;0.02;0.07;0.061;;;;0;;;1;"Yes";1;
65;"EPIC247776236";68.709041666667;24.244525;9.1;;;5;"A0";"Lodieu. monitoring light curve. multi-colour light curve of A-type binary";4.36;0.05;2457834.5;0.5;0.07;0.25;;;;0;;;1;"No";0;
266;"EPIC-248131102";69.340625;26.850527777778;17;;;5;;"EPIC-248131102 is a dipper stars to be monitored for the Dipper followup campaigns Observe for 10-15b minutes when possible";;0;;0;;;;;;2;;;1;"No";0;
268;"EPIC2481";69.340641666667;26.850516666667;15.2;;;5;;"Enric. This dipper is very periodic with, some uncertainty that needs to be estimated. Special Observation be followed during the whole night. 19/2/19: Data sent to Eric Gaidos. He may/may not write a paper. Project finished.";;0;;0;;;;;;2;;;1;"Yes";3;
304;"WD0435+410";69.664125;41.159027777778;14.8;;;5;;"Pablo's Program. This targets needs 2 time slots of 2 hours each.";;0;;0;;;;;;1;;;2;"Yes";3;
58;"C13_8425";70.794583333333;17.988797222222;11.6;;;5;"K5";"Grzegorz. Puffy planet candidate 5/1/18 There is one observation that shows clear color dependence of the eclipses. This is an eclipsing binary, so it's moved to priority 5.";1.3819974;0;2457821.8127226;0;;0.042427;;;;0;;;1;"Yes";1;
317;"TOI00422.01";71.8031875;-17.253066666667;9.5;;;2;;"TESS target.";0.63322;0;2458438.29783;0;;0.02;;;;0;;1;1;"No";0;
199;"WASP-82b";72.660666666667;1.8939133333333;10.07;;;4;"F5";"Proposed by Kiyoe Kawauchi. Transmission spectroscopy of hotter planets.";2.705785;2.0E-6;2456931.8444;0.0008;;0.208;;1.24;1.67;0;;;1;"No";0;
