TIC ID,TOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Planet Num,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Sectors,Date TOI Created (UTC),Date TOI Modified (UTC),Comments
275248683,717.01,3,4,3,3,4,4,4,PC,,11.401,0.064,,1,qlp,09:51:52.93,02:06:59.9,-32.44,2,57.51,2,2458518.26617,.00283,0.53079,0.00012,1.238,0.234,1.209173,0.003164,1113.07,1113.07,,,977.343,1557,16,64.217209,,3487,64,4.8709698,.37539601,.38100001,.061000001,"8",2019-04-24 14:49:57,2019-05-24 10:00:02,"SG1 to check faint neighbor in the south; likely BEB judging from difference images"
150247134,718.01,3,4,3,3,4,4,4,PC,,11.385,0.018,,1,qlp,06:16:40.19,-62:38:54.27,,,,,2458334.32286,.01706,12.86339,0.00231,4.454,0.756,0.996139,0.005071,917.057,917.057,11.823,.903272,52.5151,749,9,152.246,,4832,178,4.5172501,2.0034699,.80859298,.80859298,"8",2019-04-24 14:49:57,2019-05-24 10:00:02,"SG1 to check which host; neighbor in the same pixel 150247131"
184952758,719.01,3,4,3,3,4,4,4,PC,,9.007,0.019,,1,qlp,08:32:34.6,-36:20:48.53,59.136,0.729,-23.818,0.681,2458519.89245,.00924,4.10553,0.00372,4.267,0.61,0.279503,0.000769,257.399,257.399,1.64663,.100327,967.862,1553,9,81.914047,2.62569,6215,195,4.5444102,.271631,.96839499,.107063,"8",2019-04-24 14:49:57,2019-05-24 10:00:02,"Potential Hot Jupiter on the target; or BEB on 184952876; potentially the period is 2.055d with deep primary eclipse and potential secondary eclipse"
177077336,723.01,1,4,1,1,4,4,4,PC,,10.01,0.018,,1,spoc,06:52:58.41,-70:38:30.14,-56.688,0.85,143.576,0.6,2458355.35125,.001849,1.418067,0.000042,1.395544,0.196197,0.260918,0.028495,240.285356,240.285356,1.522499,1.664982,667.99587,1296.621426,8.927436,80.253601,2.4781401,4907.96,59.949699,4.5780902,.140551,.95999902,.092899397,"2,3,4,5,6",2019-05-08 16:01:12,2019-05-24 10:00:02,"needs SG1 to check if on target or neighbors; more Sectors coming"
38571020,721.01,2,4,2,2,4,4,4,PC,,10.158,0.018,,1,spoc,04:12:47.85,-64:20:52.07,24.392,1.607,-54.578,1.784,2458325.965112,.004911,12.289068,0.000685,4.547494,0.754611,0.368632,0.040777,339.46477,339.46477,2.493465,1.892712,181.432921,936.049408,8.061371,205.59549,25.8606,6008.6201,40.106499,4.21807,.110743,1.32302,.27955201,"1,2,3,4,5,6",2019-05-08 16:01:11,2019-05-24 10:00:02,"more Sectors coming; needs SG1 to confirm transits are on target"
38509907,722.01,2,4,2,2,4,4,4,PC,,11.941,0.033,,1,spoc,04:09:30.84,-62:51:05.28,102.8,2,176.18,2,2458339.145845,.005672,15.298914,0.001086,3.035739,0.702055,1.429553,0.153851,1315.800435,1315.800435,2.376944,2.024073,9.628075,449.267095,8.741217,,,4082,170,4.6316199,.2,.66076201,.064039603,"1,2,3,4,5",2019-05-08 16:01:11,2019-05-24 10:00:02,"needs SG1 to check neighbors in aperture"
309402106,710.01,3,4,3,3,4,4,4,PC,,8.4720001,0.017,,1,spoc,08:18:59.69,-65:16:41.13,-12.754,0.581,12.521,0.577,2458343.942541,.000563,216.245,,1.148164,0.04312,6.000269,0.219001,5511.209,5511.209,18.899661,11.109354,72.210059,743.479803,20.322777,150.32733,9.23909,7053,206,4.2246299,.34204799,1.59688,.199247,"1,5,8,9",2019-05-20 19:32:05,2019-05-24 10:00:02,"v-shaped; period is 216.245 d or an integer of that e.g. P/2 P/3 P/4; two events; probably will be an EB."
219239945,701.01,5,5,5,5,5,5,5,PC,FP,10.917,0.018,,1,spoc,04:18:05.19,-53:48:04.59,41.151,0.481,36.065,1.347,2458389.366552,.005664,13.697384,0.002108,4.783848,0.424539,1.153606,0.092672,1061.94658,1061.94658,4.211945,.685604,96.893803,800.191162,12.751473,232.11122,21.016701,5837,190,4.37713,.32149699,1.10089,.16444001,"3,4,5",2019-04-30 13:04:28,2019-05-23 21:57:54,"transits in close proximity to some but not all momentum dumps"
458589703,693.01,3,4,3,3,4,4,4,PC,,11.138,0.018,,1,qlp,08:17:05.98,08:14:55.72,-75.34,2,52.6,2,2458506.49374,,,,4.029,0.127,55.585618,1.110831,49907.8,49907.8,16.2959,2.34278,128.354,937,28,147.605,,4678.3301,17.1702,4.7129102,.0205383,.60301697,.0246052,"7",2019-05-02 15:06:42,2019-05-23 16:00:02,"single transit"
54962195,663.01,1,4,1,4,4,3,4,PC,,11.672,0.04,,2,spoc,10:40:15.81,-08:30:39.85,-145.21,2,-80.2,2,2458544.390641,.002789,2.598654,0.0005,1.618382,0.5309,2.077013,0.219951,1911.17085,1911.17085,2.224192,1.594181,47.520469,669.63775,9.389264,92.688316,,3719,64,4.7694101,.347691,.50199997,.075000003,"9",2019-05-06 19:17:04,2019-05-23 14:46:15,
